linea,catalan,chino
33623,Converteix-te en pacient a la nostra Pràctica Virtual.,在我们的虚拟实践中成为一个病人。
59278,La Unitat 8 del Tercer Període Hi ha una oficina de correus a prop d'aquí?,新课型城初课题中课堂教学设计新课型Unit8Isthereapostofficenearhere？
70493,"Bé, en aquesta escola no donem llibres fàcils als joves com tu.",“恩，在这所学校，我们不会给像你一样的年轻人那些简单的书。
84765,Els asiàtics tindran la seva més endavant.,亚洲人稍后会得到他们的。
109841,L'únic que m'atrauria a emigrar als Estats Units és la seva vibrant societat multicultural.,“唯一吸引我移民到美国的是你充满活力的多元文化社会。
115111,El prototip finalment es va convertir en Walmart Exchange.,这一原型最终成为WalmartExchange。
117161,"Tant si et ve de gust com si no, has de practicar el mateix: així és com va ensenyar Buda.",不管你觉得喜欢或不喜欢，你应该同样地修行：这就是佛陀如何教导的。
145666,"Vaig veure que era un gatet és tot negre, em va recordar a Romeu.",我看到它是一只小猫是所有黑色，它提醒我的罗密欧。
148310,Ara serveixo com a governador a només una milla d'on treballava el meu avi.,现在我担任州长刚刚从我的祖父工作一英里。
150644,"Parlant sobre aquesta cerimònia Duchesne (249) diu,",说到这个仪式duchesne（249）说：
150836,Pots enfrontar-te a cada feina i tens un gran regal.,你可以坚持每一份工作，而且你有一份巨大的礼物。
152211,"Sa Majestat desitjarà sens dubte veure' l, però no avui.",陛下无疑会希望看到你，但不是今天。
157583,- havia establert la residència a Hongria abans d'assolir l'edat legal;,在达到法定年龄前已经在匈牙利居住；
163559,"Així que, ja ho veus, ella estarà aquí pel seu aniversari.",所以，你看，她会在这里为她的生日。
179662,"Veurem que, a més de la universalitat, la seva obra ofereix un atribut inusual: és notablement fàcil d'entendre.",我们将会看到，除了它的普遍性，他的作品提供了一个不同寻常的属性：它是非常容易理解。
197751,"Si sou immigrants, teniu drets civils, drets humans i drets legals.",如果你是移民，你有公民权利、人权和法律权利。
201701,Voleu repensar les relacions de poder en els nostres sistemes alimentaris i establir associacions (de gènere) eficaces per aconseguir un impacte a escala?,你想重新考虑一下我们食品体系中的权力关系吗？建立有效的（性别）伙伴关系，以实现大规模的影响？
204136,"Durant tot aquest temps, Henry va ser la meva única infermera.",在那段时间里，亨利是我唯一的护士。
205313,"Com haureu vist, Surface Book 2 va rebre aquesta mateixa actualització un dia abans.",正如你可能看到的，SurfaceBook2在前一天得到了同样的更新。
246372,També sembla que hi ha una banda vermella al voltant de les mans de la víctima.,一个红色的乐队似乎也在受害者的手中。
273366,"Tots dos van ser absolts de qualsevol delicte, però les normes van ser més estrictes.",两人都被清除了任何不法行为，但规则收紧了。
285878,L'odio perquè sempre vaig pensar que era l'únic a la seva vida.,我恨他，因为我一直以为我是唯一一个在他的生活。
288138,"A més, des de 2009 s'han presentat iniciatives sobre genètica forense i drets humans.",此外，自2009年起提出了多项关于法医遗传学和人权的倡议。
291741,"A finals de mes, Guvera Austràlia i Guv Services van entrar a l'administració voluntària.",本月晚些时候，GuveraAustralia和GuvServices进入志愿行政管理。
307639,"Si vostè no pot veure la clara amenaça de la influència d'aquest home per ara, llavors vostè és una part d'ella.",如果你看不出这个明显的威胁男人的影响到现在为止你是其中的一部分。
318987,Hussein i els gakaievs musulmans eliminats a Txetxènia,侯赛因和穆斯林Gakayevs在车臣被淘汰
321264,"Fins llavors, podeu ajudar a difondre el protocol Command PB Stardust per eliminar el dolor físic:",在那之前，你可以帮忙宣传CommandPBStardust协议移除身体疼痛：
324934,Michel va continuar esperant Maya allà precisament perquè mai abans hi havia viscut.,米歇尔继续在那儿等玛雅，因为他以前从未在那里住过。
347314,"Mentre els individus s'hagin d'enfrontar a la veritat, o almenys a la nostra millor estimació dels costos de les seves accions, trobaran la manera de reduir aquests costos.",只要个人必须面对真话，或者至少面对我们对他们的行为成本的最佳估计，那么他们就会找出办法降低这些成本。
347746,"Sí, els Lakers s'alegraran d'haver-se arriscat.",是的，湖人将很高兴他们有机会。
365646,Els reptes associats a la recopilació i protecció de dades no faran més que intensificar-se en els propers anys.,与数据搜集和保护相关的挑战在今后几年只会愈演愈烈。
367860,"Ens decep que Starling s'hagi posat a si mateix, als seus companys ia l'organització en aquesta posició.",“我们感到失望的是，Starling让他自己，他的队友和组织都处于这个位置。
373111,"Per descomptat, també va recolzar la fundació de l'Exèrcit de Salvació a la Xina.",当然他也支持了救世军在中国的创立。
373732,"I després l'última cosa, que et pot sorprendre, i he de donar les gràcies a Steve Bannon per això perquè va fer que les escates caiguessin dels meus ulls.",最后一件事，可能会让你大吃一惊，我要感谢史蒂夫·班农，因为他让我的眼睛掉下了鳞片。
388688,Aquests projectes s'han proposat i grups de tot el món han començat a planificar aquestes empreses.,已提出此类项目，世界各地的团体已开始规划此类项目。
407445,"Quan hagis acabat de llegir, ens encantaria saber quines són les teves ordres preferides (incloses les que no incloem).",当你看完这篇文章，我们很想知道你最喜欢的命令是什么（包括那些我们没有包括的）。
