linea,tipo,razon,texto_original,porcentaje_automatico,detalles_base,detalles_avanzados,texto_catalan,texto_chino
69176,eliminacion_catalan,caracteres_problematicos: {'“'},"“La setmana que ve estarem a les habitacions de la casa de l'Iosif, tu i jo i la Theodora.",,,,,
180551,eliminacion_catalan,caracteres_problematicos: {'%'},Li hem donat suport al 100% i ell a nosaltres - el nostre compromís amb l'altre és total.,,,,,
195707,eliminacion_catalan,caracteres_problematicos: {'“'},"“Ha de millorar algunes coses, però pot fer-ho.",,,,,
330442,eliminacion_catalan,caracteres_problematicos: {'“'},"“Crec que jugarem per estar en equip, jo i els meus enginyers ho decidim.",,,,,
340885,eliminacion_catalan,caracteres_problematicos: {'%'},"Quan surtis de classe, en només 24 hores oblidaràs fins al 80% dels detalls, encara que ho hagis ent...",,,,,
461810,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","“Big data” ja no és una frase genial, per example.",,,,,
565921,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","“Lamentablement, no tinc barret, però m'agradaria donar-li propina a l'equip.”.",,,,,
775654,eliminacion_catalan,"caracteres_problematicos: {'“', '%'}","“Trobem que el 46% dels consumidors d'aquest any planegen fer regals que són intangibles, o una expe...",,,,,
827980,eliminacion_catalan,"caracteres_problematicos: {'«', '»'}",Eliza va respondre: «En tots els sentits.».,,,,,
854170,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}",Knight Frank defineix la “propietat d'alt risc” com el cinc per cent més alt del mercat residencial.,,,,,
1041501,eliminacion_catalan,caracteres_problematicos: {'”'},Això no se sap.”.,,,,,
1139425,eliminacion_catalan,caracteres_problematicos: {'·'},El Sr. Mansfield va dir que la naturalesa de les sol·licituds que arriben al departament també ha ca...,,,,,
1149162,eliminacion_catalan,caracteres_problematicos: {'·'},Vaghefi i els seus col·legues van enquestar recentment 182 estudiants universitaris i els van demana...,,,,,
1254439,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","De tant en tant, he trobat que “val la pena” és una alternativa encantadora (i definitivament rara).",,,,,
1270734,eliminacion_catalan,caracteres_problematicos: {'—'},"També hem vist la crueltat innecessària de Trump — cap als refugiats, immigrants indocumentats i els...",,,,,
1277071,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","Per example, a la tardor d'aquest any, el fet de la recuperació d'un altre diamant en brut de 51,91 ...",,,,,
1322204,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","“Com vaig dir al desembre, la nostra major esperança és la pau.”.",,,,,
1325490,eliminacion_catalan,caracteres_problematicos: {'·'},Habilitats get2: com triar la televisió intel·ligent multi-core?:,,,,,
1385267,eliminacion_catalan,"caracteres_problematicos: {']', '['}","[...] A més, Austin esmenta que no cal tenir l'experiència exacta que els ocupadors han enumerat.",,,,,
1408179,eliminacion_catalan,caracteres_problematicos: {'·'},"En general, Canadà no permet que diversos sol·licitants sol·licitin conjuntament una marca, però sí ...",,,,,
1475596,eliminacion_catalan,caracteres_problematicos: {'%'},"En comparació, el 2001, només el 59% dels enquestats va dir que pensava que el divorci era moralment...",,,,,
1513382,eliminacion_catalan,caracteres_problematicos: {'/'},"Va interpretar una mena de policia bo/policia dolent a prop del final, fent la impressió que encara ...",,,,,
1514469,eliminacion_catalan,caracteres_problematicos: {'/'},"La major part (2/3) es troba a Rússia, i la menor (1/3) - Polònia.",,,,,
1618486,eliminacion_catalan,caracteres_problematicos: {'”'},"Tenim l'experiència adequada de dirigir el govern per entendre com gestionar el país”, va dir el pre...",,,,,
1624903,eliminacion_catalan,caracteres_problematicos: {'%'},"No obstant això, la llengua fang també és una llengua materna comuna per aproximadament el 30% dels ...",,,,,
1761276,eliminacion_catalan,caracteres_problematicos: {'·'},"El Japó, que no és membre de l'OTAN, va llançar el primer satèl·lit de comunicacions militars al gen...",,,,,
1901835,eliminacion_catalan,caracteres_problematicos: {'%'},L'enquesta de Capital One va trobar que el 74% dels professionals multifamiliars van dir que princip...,,,,,
2052466,eliminacion_catalan,caracteres_problematicos: {'·'},Els científics poden utilitzar les dades produïdes per diferents passades d'aquests satèl·lits per f...,,,,,
2076347,eliminacion_catalan,caracteres_problematicos: {'·'},"No obstant això, per a les grans organitzacions i instal·lacions industrials, són una amenaça serios...",,,,,
2127776,eliminacion_catalan,caracteres_problematicos: {'·'},"Quan el vaig llegir, em vaig sentir trist i tranquil·litzat: a les seves pàgines escrites a mà, hi h...",,,,,
2129952,eliminacion_catalan,"caracteres_problematicos: {']', '['}",Les dades utilitzades en la figura han estat preses de Jackson i Newton (2016) sobre l'ús de subprod...,,,,,
2161136,eliminacion_catalan,caracteres_problematicos: {'́'},L ́Església respecta i protegeix la vida en qualsevol etapa.,,,,,
2228691,eliminacion_catalan,caracteres_problematicos: {'·'},"A Mont-real, tenim la sort de comptar amb una excel·lent aigua de l'aixeta, que es prova diverses ve...",,,,,
2231424,eliminacion_catalan,caracteres_problematicos: {'“'},“L'educació és el mitjà més eficaç per prevenir la intolerància.,,,,,
2238406,eliminacion_catalan,caracteres_problematicos: {'”'},"Quan els nazis van conquerir països d'Europa, el primer lloc on van arribar van ser les reserves d'o...",,,,,
