linea,catalan,chino
2809,Vegeu-los com a benediccions i estigueu agraïts per ells.,将他们看作已完成，并给他们以感谢。
3461,L'actual govern dels Estats Units ha de parar més atenció a la IA?,目前的美国政府是否需要更多地关注AI？
31062,"Vostè coneix aquest fet tan bé com jo, Sa Majestat.",你知道这一事实，以及我做的，陛下。
37265,"L'any 1972 no teníem un departament de control financer real, els nostres clients no pagaven fins que el projecte estava acabat.",在1972年，我们没有真正的财务控制部门，我们的客户直到项目完成后才付款。
40872,Hauríem de dir-los: Viu (o treballa) al moment.,我们应该告诉他们：活（或工作）在当下。
44640,"Veuràs, Facebook no et ven res perquè t'està venent als teus anunciants.",你知道，Facebook并没有向你推销任何东西，因为它正在向你的广告商出售。
49487,Pot ser que el seu objectiu sigui evitar parts del seu suport i el d'Estònia 200.,这可能是为了摆脱他们和爱沙尼亚200的支持。
60358,Petits homes verds anglesos (little green men) en nom dels extraterrestres.,英文中LittleGreenMen（小绿人）代表外星人。
76926,Vaig dir que 2C era un desastre fa 8 o 10 anys.,我说2c是8到10年前的灾难。
80413,"A Nova York, és africà"".",在纽约，他是个非洲人”。
88835,Pressupost 2014: la ciència és més que recerca mèdica,2014年预算：科学比医学研究更多
105492,"Tot i això, en les últimes generacions, als països desenvolupats, aquesta associació s'ha invertit.",然而，在过去的几代人，在发达国家，该协会已经扭转。
133623,"Intentem utilitzar les últimes tecnologies per part nostra, però elles també, per la qual cosa aquesta tensió continuarà.",“我们试图在最后使用最新的技术，但他们也是如此，所以这种紧张局势将继续存在。
144599,"I ara predim que per al 2020, la majoria de les empreses es dirigiran al públic adequat i els usuaris només veuran (i respondran) anuncis molt rellevants.",而且我们现在预测，到2020年，大多数公司将以精确的受众为目标，而用户将仅查看（并响应）与自己相关的广告。
158080,"Des del 2006, cadascuna de les nacions de l'Àrtic ha adoptat la seva pròpia política de seguretat per salvaguardar els seus drets sobirans.",自2006年以来，每一个北极国家都制定了自己的安全政策来保护其国家主权。
164873,El meu amic Watson podria dir-te que vaig passar un matí sencer en aquest exercici.,我的朋友华生可以告诉你，我用了整整一早上做这个练习。
169224,"Però aquestes persones també ens ajuden a nosaltres, perquè ens estimulen a trobar més valor per cantar-la.",然而这些人也帮助我们，因为他们激励我们找到更大的勇气来唱歌。
188297,"Les dones pobres, les dones negres, van expressar el problema universal de les dones a la seva manera.",可怜的女人，黑人女性表达了女性的普遍的问题在他们自己的方式。
194023,Aquesta fàbrica treballa amb organitzacions no governamentals locals per garantir que els seus treballadors siguin reclutats i recolzats èticament.,这家工厂与当地非政府组织合作，确保其工人在道德方面得到招聘和支持。
198704,L'equip avalua actualment la possibilitat de volar el 24 de gener.,我方团队目前正在评估1月24日飞行的可能性。
203242,"Irònicament, els insectes també s'estan extingint.",具有讽刺意味的是，昆虫也在消亡。
219889,Ho fan perquè són capaços de seguir la línia blanca trencada de l'autopista A92.,（笑声）它们这样做是因为可以跟着A92高速公路断断续续的白线飞行。
225709,"Abans d'adonar-me'n, li havia parlat de la meva nit d'insomni i de l'incident del llop.",在我知道之前，我告诉她我的失眠之夜和狼事件。
229219,"Sí, va dir, molt cert; aquí ens separem, però Harville i jo aviat estarem darrere teu, és a dir, Harville, si estàs llest, estic en mig minut.",“对，“他说，“非常真实；在这里我们分开，但Harville和我很快就会追随你，也就是说，Harville如果你准备好了，我有半分钟的时间。
231047,"Per a la temporada d'estiu, la xarxa s'ampliarà per incloure 120 destinacions a Rússia ia l'estranger.",对于暑期，网络将扩展到包括俄罗斯和海外的120个目的地。
238124,"Les dues instruccions que dic avui són, en efecte, una mica misterioses.",今天讲的两个指令的确是有点小神秘。
