linea,catalan,chino
2049,"Així, amics meus, prediquem la història de Josep.",我的朋友们，这就是我们当如何讲解约瑟的故事。
6535,Lluitaré mentre tingui una cama o un braç.,我将战斗，只要我有一条腿或一条胳膊”。
7230,"Només dues classes de persones; només una arca de seguretat, 19 de febrer",2月19日唯有两等人；只有一艘安全。（OnlyTwoClassesofPeople；OnlyOneArkofSafety，February19）
41592,"Què opina que Myanmar utilitzi o practiqui aquest sistema de reg per degoteig, especialment al nostre sector agrícola?",您如何看待缅甸使用或实施这种滴灌系统，特别是在我们的农业部门？
54529,Però tant els aprenents que volen continuar treballant al Japó com els seus ocupadors han demanat un canvi a la política.,但是，两名希望继续在日本工作的学员和他们的雇主一直在呼吁改变政策。
71055,"Per tant, donem suport a una nacionalització socialista democràtica de tot el sector energètic.",我们因而支持民主社会主义国有化整个能源部门。
80701,Per aquesta raó se li va permetre un nombre més gran de dones que altres homes.,出于这个原因，他被允许更多数量的妻子比其他男人的。
114615,Només els homes molt febles deixen que les dones arruïnin les seves vides.,只有很弱的男人让女人毁了他们的生活。
126668,"Tot i la nostra lluita, estem sent delmats de les maneres més cruels.",“尽管我们的斗争，我们正在以最残酷的方式被摧毁。
127057,Ara provem la versió mandrosa de l'exemple (32):,现在让我们试试懒惰版本的例子（32）：
127208,"La pressió de treballar aquí és molt més gran que la del club, per la qual cosa necessitem més professionals.",在这里工作的压力比俱乐部大得多，所以我们需要更多的专业人员。
139849,El menjar ha de ser excepcional: jo mateix.,这顿饭是一个例外：我自己。
156552,Era l'any 2008 a les nostres antigues oficines del pis 14 de l'edifici on encara treballem.,那是2008年，在我们仍在工作的大楼14层的旧办公室里。
158766,"No perquè pugui dir qualsevol cosa que importi, però puc oferir una abraçada i plorar amb ells.",不是因为我可以说任何重要的事情，但我可以提供一个拥抱并与他们一起哭泣。
177123,Aquesta és la iniciativa de Déu.,这是上帝的倡议。
179349,La Sra. May va dir que era un enorme vot de confiança en vostè i en la Marina Reial.,梅夫人说这是“对你和皇家海军的巨大信任投票”。
180082,"John Adams no era de cap manera un home ric, però podria haver-la comprat millor que això, si ella hagués volgut.",约翰·亚当斯绝不是个有钱人，但他本来可以买给她更好的，如果她愿意的话。
199505,Gillanders va gaudir especialment del tercer any d'estudis.,吉兰德斯特别喜欢第三年的研究。
202051,"El mòdul considera el que les nostres construccions poden significar, i el que podria estar impulsant aquestes construccions, a nivell individual i social.",该模块认为什么我们的建设（S）可能意味着，什么可能是推动这些结构，在个人和社会层面。
216904,l'exercici més gran de la història dels Estats Units i el Japó!,美国和日本历史上最大的一次演习！
