linea,catalan,chino
5316,És probable que hagin de fer les millores següents a la seva infraestructura de dades existent per fer possible la tecnologia 6G:,他们可能需要对其现有数据基础设施进行以下改进，以使6G技术成为可能：
8828,Així que hi ha 3 noies sexys que intentaran aturar-ho.,因此，有3个性感的女孩谁将会试图阻止他。
48024,"I aleshores la seva política no és, no és universal.",然后他的政策不是，它不是普遍的。
48932,"Tot i això, una dona no ha d'iniciar-se o canviar-se a un ISRS o SNRI només perquè estigui planejant quedar-se embarassada o ja ho estigui.",然而，一个女人，不一定要启动或切换到SSRI或SNRI只是因为她正计划怀孕或已经怀孕。
62329,Però potser no estem tractant amb un problema totalment lògic aquí.,但是，也许我们在这里没有解决一个完全合乎逻辑的问题。
70002,l'Iran és un altre mercat que ha mostrat un bon creixement.,伊朗是另一个表现出良好增长的市场。
85131,"Unitat 5 Si aneu a la festa, us ho passareu d'allò més bé!",博锐精品教育初二下册英语学习第五课时一、知识讲解Unit5Ifyougototheparty，you’llhaveagreattime！
98839,"L'única diferència és que tens més espai en aquest darrer cas, però això també vol dir que has d'usar-lo sàviament.",一个区别是，在后一种情况下，您有更多的空间，但这也意味着您必须明智地使用它。
106137,"Si mai has fet un pollastre rostit a casa, creu-me, val la pena el poc esforç.",如果你从来没有在家做过烤鸡，相信我，值得花一点力气。
115369,"Com, ja saps, cultivant més plantes.",比如，就像你知道的，种植更多的植物。
115763,"Si el cost és una preocupació per a vostè, pregunteu quant costen els medicaments i procediments.",如果成本是你关心的问题，问药物和程序花费多少。
143279,El 27 de maig se'n va anar de vacances a França.,5月27日，她去法国度假。
144134,"Vaig veure quant va patir la meva família, però ho vaig donar tot per la selecció.",我看到了我家人的痛苦，但我为国家队付出了一切。
160858,Els francesos el van convertir en marit.,法国人把它变成了丈夫。
162617,"Continuem confiant en la nostra mare durant molt de temps, i també tenim altres mares.",我们继续依赖母亲有很长一段时间，我们还有其它几位母亲。
170193,La santa mort està prohibida.,一个神圣的死亡是被禁止的。
172648,"La comunitat internacional ha aplicat fins ara polítiques de destrucció, en lloc de la reconstrucció promesa.",国际社会到目前为止推行的是摧毁政策，而不是所承诺的重建。
193824,"A més, si et trobes amb una llista de les 5, 7 o 10 principals empreses de SEO, tingues en compte que una persona darrere podria tenir una agenda.",此外，如果你遇到一个排名前5、7或10的SEO公司，请记住，它背后的一个人可能有一个议程。
199081,No ha de ser sensible a altres fenòmens físics.,不应该对其他物理现象敏感。
205169,"Per construir la cultura de canvi adequada per a la vostra organització, és important estar obert a totes les respostes i diferents models.",为了为您的组织建立正确的变革文化，重要的是对所有的答案和不同的模式保持开放。
207529,"Del 1728 al 1759, va sortir el rellotge nàutic.",1728到1759年，航海钟问世。
252740,El nostre Departament de Justícia i el nostre FBI han de començar a fer la seva feina i fer-ho bé i fer-ho ara.,我们的司法部跟FBI应该开始把工作给做好，而且要做对，现在就去做。
253792,"Actualment, el tipus impositiu de l'aranzel verd d'Ucraïna és un dels més alts del món, vinculat al tipus de canvi de l'euro, fins que la dècada del 2030 tingui protecció legal ucraïnesa.",目前乌克兰的“绿色关税”税率是世界上最高的之一，与欧元汇率挂钩，直到2030年都有乌克兰法律保障。
270992,"Encara que fos el pitjor empleat que hagis contractat, deixa que se'n vagi amb la major dignitat i respecte possible.",即使他们是你雇佣的最差的员工，让他们以尽可能的尊严和尊重离开。
271639,"Amb molts anys d'esforç, hem desenvolupat amb èxit el mercat de Tailàndia.",经过多年的努力，我们成功开发泰国市场。
273942,I aquesta: Algunes persones pensen que hauríem d'enviar missatges a l'espai encara que no rebem un missatge primer.,而这一点：有些人认为我们应该把信息发送到太空中，即使我们没有首先收到信息。
275780,"Ara bé, Amazon en aquest moment és un titular, així que potser m'hauria d'alegrar.",现在，亚马逊在这一点上是一个在位者，所以也许我应该对此感到高兴。
