linea,catalan,chino
58911,'27 anys de corrupció són suficients': Els romanesos sobre per què protesten,“27年的腐败就足够了”：罗马尼亚人为什么要抗议
71623,"No és un malson, amic meu.",这不是一场噩梦，我的朋友。
78327,"""Gràcies Stan Lee per fer que les persones que se senten diferents s'adonin que són especials"", va escriure.",“感谢StanLee让那些感觉不同的人意识到他们很特别，”他写道。
80022,"Significa que hi ha un efecte secundari negatiu, de la mateixa manera que un es pot queixar de la contaminació, però no vol prohibir tota la indústria i el transport.",这意味着有一个负面的副作用，就像人们可以抱怨污染一样，但并不想禁止所有的工业和运输。
90344,"Sara, el teu comentari m'ha fet molt feliç saber que el teu JRT va viure fins als 17 anys.",萨拉，你的评论让我很高兴知道你的JRT活到17岁。
119698,Sap que pot matar algú en un llibre.,她知道，她可以在书中杀掉某个人。
134483,"Tant si això dura un mes més com uns quants anys, això és el que dirà quan s'acabi.",无论是再持续一个月还是几年，这就是他结束的时候会说的话。
139153,Et dono l'oportunitat de protegir el teu preciós secret.,我给你一个机会保护你的珍贵的秘密。
154888,"Això fa que myisamchk segueixi endavant, fins a un màxim de 20 errors.",这使得myisamchk继续一直到最多20个错误。
196537,"No va explicar la meitat de la seva història a casa, perquè va veure que era un turment per a Jurgis, i tenia por del que pogués fer.",她没有把一半的故事告诉家里，因为她看到这对Jurgis来说是一种折磨，她害怕他可能会做什么。
206714,Però avui podeu qüestionar la força d'aquest somni i la promesa dels Estats Units.,但是今天，你可能会质疑这个梦想的力量和美国的承诺。
220999,La versió de venda al públic encara admet 31 unitats virtuals.,零售版的仍然支持31个虚拟驱动器。
221357,El rebuig és la protecció de Déu.,我们所拒绝的是上帝的保护。
234217,"Vist així, la càrrega principal recau sobre els palestins.",如果这样看，主要的重担落在巴勒斯坦人的身上。
237321,"Durant cadascuna de les meves visites de camp, m'ha sorprès com aquests esforços estan afectant la vida de les dones.",每次实地考察，我都惊讶于这些努力如何影响着女性的生活。
259362,Pertanys al poble de Déu.,是你在和上帝的人。
263412,Ja no somia amb la seva dona morta.,他不再梦见自己死去的老婆了。
263897,"Per example, segons Shodan actualment hi ha 34K servidors amb aquestes versions PHP no suportades.",例如，据Shodan称，目前有34000台服务器包含这些不受支持的PHP版本。
275903,"Ara l'anomenen ""el major Dobias"", però era un sergeant.",现在他们管他叫“多比亚斯少校”（MajorDobias），但当时他是一个中士。
280963,si mai haguessin canviat el seu ús de Facebook o la configuració de privadesa en resposta a aquestes preocupacions,如果他们曾经改变他们对Facebook或隐私设置的使用以回应这些担忧
303602,Fins fa poc s'ha cregut que eren una introducció moderna del cavall.,直到最近，他们一直被认为是现代马的引进。
310952,Mary va aprendre a volar per al llibre Flying Finish (1966) del seu marit.,玛丽学会了飞翔丈夫的书1966年完成飞行。
321082,"Com que aquests sectors han estat suprimits i protegits durant dècades, la seva productivitat continua sent relativament baixa.",由于这些部门已被压制和保护数十年，其生产率仍然相对较低。
326376,"No deixis que les víctimes de massacres, terratrèmols i fams morin per segona vegada.",不要让屠杀、地震和饥馑中死去的人们第二次死去！
328477,"Això ens porta a la pregunta més important: si cada univers neix d'un altre univers, on va començar tot?",这导致了一个最重要的问题：如果每个宇宙都是从另一个宇宙诞生的，那么它从哪里开始？
350247,"Com a empleat de la Universitat, quina és la meva responsabilitat per preservar els registres públics?",作为大学的员工，什么是我的责任，维护公共记录？
358931,"Així que, per a aquest any, estic creant conscientment més diversió en la meva vida.",所以，今年，我有意识地在我的生活中创造更多乐趣。
364287,No havia confiat en els fons russos per finançar les meves activitats empresarials al sector privat.,我没有依赖俄罗斯的资金来资助我在私营部门的业务活动。
374083,"Per example, els usuaris podrien sostenir un document i preguntar al MyEye de què es tracta.",例如，用户可以指向一个文档，并问MyEye那是什么。
374684,"El ""no"" de Grècia no és cap victòria per a la democràcia",希腊的“不”不是民主的胜利
383295,Tinc raons per creure que és al codi continental.,“我有理由相信这是大陆法典。
394651,"En altres paraules, a curt termini hi pot haver perdedors, però l'economia en general s'enfortiria.",换句话说，在短期内可能会有输家，但整体经济会变得更强劲。
397128,I ara ho estem remodelant per tenir millors instruments.,现在我们正在重塑它有更好的工具。
417372,"Quan es tracta d'aquestes decisions, tinc una filosofia que anomeno les 3 regles.",当涉及到这些决策时，我有一种哲学，我称之为3法则。
434043,L'era de l'estrateg de CIO ha arribat.,CIO战略家的时代已经到来。
435375,"No li va permetre tornar a casa fins que no ho fes, en cas contrari rebria una pallissa.",他不允许她回家直到不能做到，否则她会受到殴打。
452567,T'ho dic perquè el que vaig dir als profetes del passat passarà.,我告诉你，因为过去我对先知们说过的都将成就。
454919,"""Vull escoltar això des del Scotland Yard o des del Ministeri d'Afers Exteriors.",“我希望从苏格兰场或外交部听到这一点。
502058,"Una nit d'estiu del 2010, Naren Shaam es va adonar que ja n'havia tingut prou.",在2010年的一个夏夜，NarenShaam意识到他是真的受够了。
512077,Per fi havien desxifrat el codi; ara van tornar a revisar la carta.,他们终于破译了密码；现在他们又经历了这封信。
537221,Com vols que sigui l'empresa al final de la recessió i tres anys després?,你希望公司在经济衰退结束和三年后是什么样子？
555739,I tot Israel plorarà per ell i l'enterrarà.,全以色列必为他哀哭，将他葬埋。
556035,"Alan a la meva professió és dissenyador web, de manera que sovint ha de portar la càmera.",Alan在我的职业是一个网页设计师，所以他经常有携带相机。
559877,"Però en resposta a les preocupacions dels consumidors, els fabricants estan eliminant gradualment el mercuri en la majoria de les vacunes del tot.",但为了应对消费者的担忧，制造商正在逐步淘汰大多数疫苗中的汞使用。
