linea,tipo,razon,texto_original,porcentaje_automatico,detalles_base,detalles_avanzados,texto_catalan,texto_chino
204028,eliminacion_catalan,caracteres_problematicos: {'—'},"—No he pogut evitar adonar-me'n, però aquests senyors d'aquí són morts?",,,,,
212149,eliminacion_catalan,caracteres_problematicos: {'“'},"“Encara que ens preocupava que els nostres fills s'adaptessin a la vida d'aquí, ho van fer més fàcil...",,,,,
217508,eliminacion_catalan,caracteres_problematicos: {'—'},Farem complir les nostres lleis — i protegirem els interessos nacionals dels Estats Units.,,,,,
266611,eliminacion_catalan,caracteres_problematicos: {'‘'},Un compte de Twitter en ‘arrest domiciliari' durant 30 dies,,,,,
284738,eliminacion_catalan,"caracteres_problematicos: {'[', ']'}",El Museu d'Història enriqueix el seu fons [FOTO],,,,,
476672,eliminacion_catalan,"caracteres_problematicos: {'”', '“'}","“Si tingués un fons de pensions, tindria molta cura amb el que se m'ofereix.”.",,,,,
487328,eliminacion_catalan,caracteres_problematicos: {'%'},"Com per example, per a la carn de boví, té el 80% de",,,,,
506824,eliminacion_catalan,caracteres_problematicos: {'“'},"“Anyell melós, hi ha moltes coses en aquest món sobre les quals em sento insegur.",,,,,
586198,eliminacion_catalan,caracteres_problematicos: {'·'},"Lamentem sincerament no poder oferir als nostres membres tota l'experiència que havíem anunciat i, p...",,,,,
641447,eliminacion_catalan,caracteres_problematicos: {'·'},Recordeu que la instal·lació de la comunicació només és possible si obteniu permís per fer certes or...,,,,,
695798,eliminacion_catalan,caracteres_problematicos: {'·'},"És per això que estic realment orgullós d'informar que en els nostres primers 11 mesos, la meva admi...",,,,,
719973,eliminacion_catalan,caracteres_problematicos: {'·'},"Les noves tecnologies permetran a les universitats, col·legis i altres institucions d'educació super...",,,,,
736566,eliminacion_catalan,"caracteres_problematicos: {'”', '“'}","Com en altres parts del món, a la Xina la producció d'aliments va conduir gradualment a les altres s...",,,,,
855409,eliminacion_catalan,caracteres_problematicos: {'“'},"“2025 és una data límit real, però només per a SAP, no per als seus clients.",,,,,
876929,eliminacion_catalan,caracteres_problematicos: {'·'},"L'Armada índia ha estat fent visites regulars a aquest port del sud del Vietnam, i el Vietnam fins i...",,,,,
902842,eliminacion_catalan,caracteres_problematicos: {'“'},"“A Anglaterra, el futbol juga un paper important en la nostra cultura i en la nostra vida quotidiana...",,,,,
926789,eliminacion_catalan,"caracteres_problematicos: {'”', '“'}",“Tinc moltes games d'ajudar-los a elaborar polítiques que serveixin de model per a les empreses que ...,,,,,
1035867,eliminacion_catalan,caracteres_problematicos: {'·'},Una de les seves accions més substancials és proporcionar suport financer a la distribució de pel·lí...,,,,,
1043235,eliminacion_catalan,caracteres_problematicos: {'·'},"Sembla una mica d'una pel·lícula de ciència ficció, però es diu que Google està preparant el llançam...",,,,,
1237129,eliminacion_catalan,caracteres_problematicos: {'“'},"“L'art té moltes formes, pot transcendir fàcilment les cultures i utilitzar la tecnologia per conver...",,,,,
1410409,eliminacion_catalan,caracteres_problematicos: {'·'},"Si escolteu Cel·lular City, Gerònim, i especialment City Jungle, escoltareu l'efecte.",,,,,
1490602,eliminacion_catalan,caracteres_problematicos: {'·'},"Quan només tenia disset anys, guanyava un sou excel·lent en el tipus d'establiment, però era ambició...",,,,,
1566334,eliminacion_catalan,caracteres_problematicos: {'“'},“El repte de l'oposició és que s'han de posar d'acord.,,,,,
