linea,tipo,razon,texto_original,porcentaje_automatico,detalles_base,detalles_avanzados,texto_catalan,texto_chino
61365,eliminacion_catalan,caracteres_problematicos: {'%'},Gmail i moltes de les eines que trobem indispensables va ser un projecte a temps 20%.,,,,,
125374,eliminacion_catalan,caracteres_problematicos: {'%'},"Actualment, només el 25% dels comerciants en línia entenen SCA i les seves obligacions relacionades ...",,,,,
265836,eliminacion_catalan,"caracteres_problematicos: {'=', '<'}",Totes les vaques N (1 <= N <=) estan fent cua esperant per arribar als seus seients.,,,,,
281160,eliminacion_catalan,caracteres_problematicos: {'“'},“Depenem molt de l'espectre per poder fer aquest entrenament.,,,,,
371672,eliminacion_catalan,caracteres_problematicos: {'/'},"Tot seguit, consideraré com aquestes dues formes justificades d'argumentació podrien aplicar-se al p...",,,,,
524530,eliminacion_catalan,caracteres_problematicos: {'·'},"La setmana passada vam desenvolupar la penicil·lina i la televisió i l'energia nuclear,",,,,,
667152,eliminacion_catalan,caracteres_problematicos: {'“'},“El Govern no té cap intenció de quedar-se simplement al marge mentre la indústria siderúrgica s'enf...,,,,,
777963,eliminacion_catalan,"caracteres_problematicos: {'“', '·', '”'}","“En Bruce, en el costat de la inversió, té el que jo descriuria com la malaltia de l'home intel·lige...",,,,,
806532,eliminacion_catalan,caracteres_problematicos: {'«'},"Ansiosa, va dir: «Està bé parlar d'això; els japonesos han deixat que circuli pel Pacífic.",,,,,
987955,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}",Anomenem al diàleg “una trobada de dos oceans” perquè creiem que el budisme i el sufisme són com dos...,,,,,
1126538,eliminacion_catalan,caracteres_problematicos: {'»'},L'amistat amb Déu es construeix compartint totes les teves experiències vitals amb Ell.».,,,,,
1150074,eliminacion_catalan,caracteres_problematicos: {'“'},"“Amb molt poques dades, no podràs treure cap conclusió en què confiïs.",,,,,
1324696,eliminacion_catalan,caracteres_problematicos: {'“'},"“Només tenim 5 milions de persones, però som el tercer mercat de mobilitat elèctrica del món.",,,,,
1348657,eliminacion_catalan,caracteres_problematicos: {'/'},"Córrer a la festa Jane/John no et cridarà gaire l'atenció (bé, bona atenció almenys).",,,,,
1376724,eliminacion_catalan,caracteres_problematicos: {'·'},Segona pel·lícula - Finalitzada el 2013,,,,,
