linea,tipo,razon,texto_original,porcentaje_automatico,detalles_base,detalles_avanzados,texto_catalan,texto_chino
19145,eliminacion_catalan,caracteres_problematicos: {'“'},“Però demà he de començar a centrar-me en la setmana que ve.,,,,,
201789,eliminacion_catalan,"caracteres_problematicos: {'“', '”', '%'}",“És molt probable que almenys el 2% de les monedes es perdin a l'any: múltiples estudis han demostra...,,,,,
218096,eliminacion_catalan,caracteres_problematicos: {'“'},“Ja no entenc el meu propi cor.,,,,,
224305,eliminacion_catalan,caracteres_problematicos: {'%'},Crec que és important que sàpigues que el 95% de les persones acaben casant-se.,,,,,
241821,eliminacion_catalan,caracteres_problematicos: {'•'},• Seràs una primera cita increïble que sempre aconsegueix una segona cita.,,,,,
442637,eliminacion_catalan,caracteres_problematicos: {'”'},El problema és si tu o jo podem ser una raó tan autoexistent.”.,,,,,
488143,eliminacion_catalan,caracteres_problematicos: {'%'},"L'Orient Mitjà té un superàvit comercial de petroli del 266%, i els Estats Units tenen un dèficit de...",,,,,
510911,eliminacion_catalan,"caracteres_problematicos: {'“', '·'}","L'1 de novembre de 2002, va dir: “Espero que s'instal·li una bombolla immobiliària.",,,,,
558840,eliminacion_catalan,caracteres_problematicos: {'%'},"El comerç entre Rússia i els països de l'ASEAN va créixer un 35% el 2017, però el potencial de la co...",,,,,
679123,eliminacion_catalan,caracteres_problematicos: {'·'},"""La vostra sol·licitud al Cos d'Infermeres de l'Exèrcit no es pot considerar favorable, ja que no hi...",,,,,
680110,eliminacion_catalan,caracteres_problematicos: {'“'},“En qualsevol moment la majoria de la gent deu i estarà sota l'aigua financerament.,,,,,
783999,eliminacion_catalan,caracteres_problematicos: {'%'},"TELUS, proveïdor líder de telecomunicacions al Canadà, estima que per al 2015 només el 30% dels seus...",,,,,
814858,eliminacion_catalan,caracteres_problematicos: {'“'},"“El nou govern pot revisar els projectes, però no té dret a aturar cap projecte ja implementat.",,,,,
885773,eliminacion_catalan,caracteres_problematicos: {'/'},"La teva dona o núvia pot llegir, sentir o veure opinions negatives, com ara la interacció Donald/Car...",,,,,
972500,eliminacion_catalan,caracteres_problematicos: {'·'},L'informe també il·lustra la compatibilitat de la iniciativa amb altres plans de desenvolupament de ...,,,,,
1080449,eliminacion_catalan,caracteres_problematicos: {'“'},"“No pots evitar-ho, especialment quan veus un nou titular i sempre és un número, un recompte: 50 mor...",,,,,
1082123,eliminacion_catalan,caracteres_problematicos: {'+'},Body+ - Les meves dades de pes semblen inexactes.,,,,,
1136116,eliminacion_catalan,"caracteres_problematicos: {'»', '«'}","«Els déus són cruels si se l'emporten tan jove i ben plantat, en el seu propi banquet de noces», li ...",,,,,
1245939,eliminacion_catalan,caracteres_problematicos: {'”'},"Estic perfectament disposat a admetre que tenien raó, però encara que tinguessin raó, encara no veig...",,,,,
1359713,eliminacion_catalan,caracteres_problematicos: {'»'},També hauria de deixar de retenir arbitràriament la informació que és crucial per entendre la pobres...,,,,,
1383344,eliminacion_catalan,caracteres_problematicos: {'·'},La injustícia de DC: Els déus entre nosaltres han demostrat que encara poden guanyar excel·lents tít...,,,,,
1566452,eliminacion_catalan,"caracteres_problematicos: {'“', '·'}","“Crec que si afegissin una passarel·la coberta com en els altres edificis, seria millor caminar.",,,,,
1584111,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","Quan aparec aquí a la porta, òbviament hi ha molts fans de Ferrari aquí, i potser almenys el 50 per ...",,,,,
1641514,eliminacion_catalan,caracteres_problematicos: {'–'},"Els tres fidels hebreus es neguen a adorar, 3:8–18.",,,,,
1647817,eliminacion_catalan,caracteres_problematicos: {'”'},Fins que el conductor li ordeni que cedeixi el seu seient a un passatger blanc.”.,,,,,
1668566,eliminacion_catalan,caracteres_problematicos: {'—'},—L'he explorat i l'he portat al PSV.,,,,,
1686115,eliminacion_catalan,caracteres_problematicos: {'“'},“Vaig a lluitar i de moment no es tracta de buscar una sortida.,,,,,
1691284,eliminacion_catalan,caracteres_problematicos: {'·'},Ara dedica part del seu temps a parlar sobre l'augment de la conscienciació i la col·laboració media...,,,,,
1745648,eliminacion_catalan,caracteres_problematicos: {'%'},"Gairebé el 70% dels seients estan al marge, posicionats per a les millors línies de visió possibles ...",,,,,
1749323,eliminacion_catalan,caracteres_problematicos: {'”'},"Mai oblidarem el que van fer aquí, i tindrem la nostra venjança”, va dir a Al Jazeera Naib Jassim, u...",,,,,
1760124,eliminacion_catalan,caracteres_problematicos: {'“'},"“Tradicionalment, els campions i els seus socis obren la pilota.",,,,,
1963197,eliminacion_catalan,"caracteres_problematicos: {'“', '”', '–'}","El tema de l'esdeveniment va ser “Tabac – una amenaça per al desenvolupament”, posant èmfasi en el v...",,,,,
2038411,eliminacion_catalan,caracteres_problematicos: {'“'},“Els nostres agents de la Patrulla Fronterera fan de la salvaguarda i la preservació de la vida huma...,,,,,
2069168,eliminacion_catalan,caracteres_problematicos: {'“'},"“Si hi ha algú que encara es pregunta per què s'està lliurant aquesta guerra, que miri a Noruega.",,,,,
