linea,tipo,razon,texto_original,porcentaje_automatico,detalles_base,detalles_avanzados,texto_catalan,texto_chino
18208,eliminacion_catalan,caracteres_problematicos: {'—'},"Aquest és el malson de tot propietari de gos — i malauradament, no és un incident aïllat.",,,,,
275994,eliminacion_catalan,caracteres_problematicos: {'/'},Estem a punt de dir que som els mestres quan es tracta de fer envasos de plàstic de PVC / PET / PP p...,,,,,
297106,eliminacion_catalan,caracteres_problematicos: {'/'},"No he pogut trobar cap altre alemany digne de mostrar per avui, així que aquí teniu el Kyosho 1/64 P...",,,,,
304675,eliminacion_catalan,caracteres_problematicos: {'“'},“Totes les nostres històries són a la roca.,,,,,
404394,eliminacion_catalan,"caracteres_problematicos: {'[', ']'}","[13] La majoria de la gent triga almenys 20 minuts a calmar-se de la ira, però alguns poden necessit...",,,,,
524728,eliminacion_catalan,caracteres_problematicos: {'·'},RECONEIXENT també que la protecció física efectiva del material nuclear i les instal·lacions nuclear...,,,,,
549531,eliminacion_catalan,caracteres_problematicos: {'▼'},▼Nadal coneixement fred 5:Jingle Bells no és la cançó de Nadal?,,,,,
562750,eliminacion_catalan,caracteres_problematicos: {'“'},“Un codi pin o un número de targeta de crèdit és una cosa que es pot eliminar.,,,,,
597502,eliminacion_catalan,caracteres_problematicos: {'“'},"“Avui, vull desafiar-nos a tots a tenir majors ambicions per a la web.",,,,,
649279,eliminacion_catalan,caracteres_problematicos: {'–'},Zones de lliure comerç i delictes financers – Una ganga Faustian?,,,,,
664212,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}",“Em fa sentir bé?” és la pregunta de l'esquerra.,,,,,
1011601,eliminacion_catalan,"caracteres_problematicos: {'/', '*'}",* Classe / pobresa de la custòdia més que la maternitat soltera en si mateixa condueix a resultats a...,,,,,
1013412,eliminacion_catalan,caracteres_problematicos: {'·'},"""Ens preocupa que el govern ens restringeixi, prohibeixi les coses, comenci a dir que això és un enr...",,,,,
1018891,eliminacion_catalan,caracteres_problematicos: {'—'},"—Pot quedar-se amb nosaltres si vol, Mimi.",,,,,
1090344,eliminacion_catalan,caracteres_problematicos: {'·'},"Anna Karenina no va ser la primera novel·la realista, però es considera un example gairebé perfecte ...",,,,,
1132871,eliminacion_catalan,caracteres_problematicos: {'≥'},Adults (≥ 18 anys): Llegint un llibre no electrònic; jugant a un joc de taula; assegut en un cotxe.,,,,,
