linea,tipo,razon,texto_original,porcentaje_automatico,detalles_base,detalles_avanzados,texto_catalan,texto_chino
130676,eliminacion_catalan,caracteres_problematicos: {'%'},"Sempre que les coses van malament, em culpo al 100%.",,,,,
154195,eliminacion_catalan,"caracteres_problematicos: {'”', '“'}","“Què, estàs gelós?”, 1892",,,,,
245644,eliminacion_catalan,caracteres_problematicos: {'£'},"Ella va dir: ""No tinc res i encara he de la meva targeta de crèdit 4000 £.",,,,,
268196,eliminacion_catalan,caracteres_problematicos: {'“'},“La majoria dels passatgers d'aquest vol eren els nostres apreciats joves iranians.,,,,,
402796,eliminacion_catalan,caracteres_problematicos: {'·'},"Tot i això, aquesta possibilitat depèn de la col·laboració intencionada amb socis com Keppel.",,,,,
617290,eliminacion_catalan,caracteres_problematicos: {'*'},L'Oficina d'Estadístiques Laborals projecta més de 11.000 nous dissenyadors que seran necessaris per...,,,,,
628046,eliminacion_catalan,caracteres_problematicos: {'·'},I ara tenim una foto al plató que confirma que la producció de la pel·lícula està oficialment en mar...,,,,,
684854,eliminacion_catalan,caracteres_problematicos: {'·'},"En aquest sentit, acollim amb satisfacció la creació de Centres d'Excel·lència i altres centres de f...",,,,,
710496,eliminacion_catalan,"caracteres_problematicos: {'»', '«'}",«És sorprenent que les llars que guanyen més de 100.000 lliures a l'any l'estiguin utilitzant.»,,,,,
733049,eliminacion_catalan,caracteres_problematicos: {'*'},"* Estem treballant per augmentar la prosperitat, i perdem la nostra cartera.",,,,,
941660,eliminacion_catalan,caracteres_problematicos: {'%'},"L'FMI, però, ha dit que les reformes actuals només produirien un superàvit de l'1,5% i que les refor...",,,,,
1032078,eliminacion_catalan,caracteres_problematicos: {'“'},"“La Clarence tenia vint-i-dos anys ara, i era el meu cap executiu, la meva mà dreta.",,,,,
1075677,eliminacion_catalan,caracteres_problematicos: {'·'},"Si preguntes a Dwyer, els mil·lennistes en realitat podrien tenir l'efecte contrari quan es tracta d...",,,,,
1218214,eliminacion_catalan,caracteres_problematicos: {'“'},"“No persegueixen l'avantatge comparatiu ni el màxim benefici, promouen el desenvolupament, la justíc...",,,,,
1246121,eliminacion_catalan,"caracteres_problematicos: {'”', '“'}","Hi ha un procés de desenvolupament molt obert, però també hi ha un “oracle” que de vegades es correg...",,,,,
1285619,eliminacion_catalan,"caracteres_problematicos: {'”', '“'}",Ahir a la nit el seu pare actor va dir que la seva mort va ser un tràgic accident i que la seva famí...,,,,,
1318720,eliminacion_catalan,caracteres_problematicos: {'%'},"I les regles en aquestes zones són: a), com a dalt; b), com a dalt, però l'espai circumdant ha de se...",,,,,
1377091,eliminacion_catalan,caracteres_problematicos: {'·'},"Amb l'ajuda d'amics, veïns i col·legues, MacKay-Lyons va netejar el bosc, revelant ruïnes històrique...",,,,,
