linea,catalan,chino
10547,No pots dubtar de la capacitat de Déu.,你不能确定神的属性。
18725,Aleshores tu i Tom i un parell d'homes podeu arribar a la primera illa i treure les noies.,然后你和汤姆和几个男人可以到达第一个岛，然后把女孩们带走。
56110,"10 Per tant, el seu poble torna aquí,",10所以他的百姓归到这里，
147329,Això només demostra que el procés polític pot canviar.,“这只是表明政治过程可以改变。
161844,"En alguns casos, els científics estan entrant directament a les baralles polítiques actuals.",在某些情况下，科学家们正在直接涉足当前的政治斗争。
185672,"""Per a tu, estimat James, és fàcil.",“对你说来，亲爱的詹姆斯，这是一件容易的事。
197785,"Ella planejava anar a Chicago, així que no crec que vostè -' només la negació absoluta.",她打算去芝加哥所以我不认为你——“只是绝对的否定。
201805,"No hi ha regles estrictes, però pel que fa als jocs, heu d'afegir aquestes propietats semàntiques:",没有其他特殊的规则，但是像游戏分类一样，你应该添加一个semanticproperties：
203776,"Bonnie, crec que és allà fora, en algun lloc, terriblement ferit.",邦妮，我想他就在外边，在某地方伤得很重。
218757,També podria donar-se el cas que aquestes tendències estiguin sent impulsades per altres factors no relacionats amb la competència del mercat.,也有可能这些趋势是由与市场竞争无关的其他因素驱动的。
251872,"També van desenvolupar una nova manera de protegir l'embolic, ja que qualsevol interferència externa podria afectar-ne el resultat.",他们还开发了一种新的方法来保护纠缠，因为任何外部干扰都可能影响结果。
255906,Això també vol dir que confien en nosaltres quan gestionem les seves relacions jurídiques i financeres amb cadascun dels canals individuals.,这也意味着他们信任我们，当我们管理你的每个单独的通道的法律和财务关系。
272135,"Imprescindible si vols formar part de la societat, encara que ara la majoria dels joves parlen anglès.",如果你想成为社会的一个真正的一部分，一定是必须的，尽管大多数年轻人现在说英语。
292943,"Vaig pensar, en Trude i jo vam pensar, que l'estàvem ajudant, però era el camí equivocat.",我想，特鲁德和我想，我们在帮助他，但这是错误的方法。
306647,L'Organització de l'Aviació Civil Internacional (OACI) i la Conferència Europea d'Aviació Civil (ICAC) també donen suport a la posició de l'Azerbaidjan sobre aquesta qüestió.,国际民用航空组织（ICAO）和欧洲民用航空会议（ICAC）支持阿塞拜疆在该问题上的立场。
339854,L'interior també mostra amb orgull els orígens industrials.,内部也自豪地展示了它的工业起源。
343465,Ser una super mare no vol dir ocupar-se de tot.,成为一个妈妈超人并不表示要照顾一切。
344000,Hem d'abordar aquest repte per a garantir millors resultats per als immigrants i la nostra economia.,我们必须应对这一挑战，确保移民和我们的经济取得更好的成果。
350140,RSA també es pot utilitzar per signar un missatge.,RSA也可以用来为一个消息署名。
352677,Un informe que cita un membre de la família va dir que la nena va estar retinguda dins una caixa durant dos dies.,一份报告援引一位家庭成员说，这名女孩被关在一个盒子里两天。
358338,Rubio va dir el mateix a moltes altres persones.,卢比奥告诉许多其他人同样的事情。
360490,"Encara que fossin de vidre, encara estaries en un lloc.",即使它们是玻璃的，你还会在现场。
402356,"Però em vaig omplir de sentiments indignes, pensaments que cap fill no hauria d'admetre.",但是我充满了不值得的感情，儿子不应该承认的想法。
418541,Fiscal de Manhattan: Es tracta de justícia per a les 14 víctimes,曼哈顿检察官：这是为14位被害人伸张正义
418734,Va exercir com a president del club (per descomptat que ho va fer; ningú volia ser el cap d'aquest club de ximples excepte ell) fins que es va graduar.,他担任俱乐部主席（当然他做过；没有人想成为这个哑巴俱乐部的负责人而是他），直到他毕业。
420551,Durant el programa Cambridge English: First (FCE) aprendràs a comunicar-te de manera efectiva cara a cara.,在剑桥英语：第一（FCE）课程期间，您将学习如何有效沟通面对面。
442589,"Tot i això, els costos financers per si sols són raó suficient per posar fi a aquesta política.",“但是，仅仅财务支出这一点足够叫停这一政策了。
448169,"Per evitar ser enviats a Líbia, els migrants africans han estat escollint altres rutes a un lloc segur, incloent viatjar a través d'Amèrica Central als Estats Units.",为了避免被送往利比亚，非洲移民一直在选择其他安全途径，包括通过中美洲前往美国。
450290,Ets aquí perquè vols anar al cel?,你今天在这里因为你想进入天堂吗？
456065,El país va celebrar recentment eleccions presidencials pacífiques a l'octubre del 2015 i hi ha hagut molts avenços en l'àmbit de la reconciliació.,这个国家最近于2015年10月召开了和平的总统选举，在和解方面也取得了众多进展。
475789,"El tuit d'Obama també va provocar més de respostes, incloent-hi comentaris tant positius com negatius.",欧巴马的推文也引来了超过3万7000则回复，其中包括正面及负面的评论。
487134,Diverses anàlisis en els darrers anys suggereixen que aquests efectes d'escalfament dels boscos podrien compensar parcialment o totalment la seva capacitat de refredament.,过去几年里有若干分析表明，森林的这种变暖效应可能会部分或完全抵消其带来的冷却效应。
493303,Fa gairebé un any que treballem amb Theo i estem convençuts que continuarà construint sobre una base sòlida i més estructurada per a la nostra empresa.,“我们已经和Theo工作了将近一年，并相信他将进一步为我们公司打造一个坚实而更加结构化的基础。
497717,"Avui dia, moltes empreses gestionen els seus propis centres de dades, de vegades juntament amb CDN comercials.",如今，很多公司运营着自己的数据中心，有时也和商业CDN合作。
510445,"Ja que estem tractant d'argumentar que això no passarà, suposarem que Walmart i els altres minoristes no augmenten el preu de Xboxes.",由于我们试图争辩说这不会发生，我们假设沃尔玛和其他零售商不会增加Xbox的价格。
525736,"Si creus en algun tipus d'estat social, moriràs en una residència de gent gran.",如果你相信某种社会状态，你会死在养老院。
528328,Es van cridar l'un a l'altre.,他们大声地彼此高呼，互相呼喊。
538236,"""És una batalla difícil, però al final acabarem amb Daesh"", va dir.",“这是一场艰难的战斗，但最终我们将消灭Daesh，”他说。
553652,"Si apareix a la casa, en general ""retrocedeix"" de nou al carrer i es fon allà només.",如果她出现在房子里，她通常会“退出”回到街上并且只在那里融化。
585108,Els primers 1000 dies: programa de Salut i Nutrició,“前1000天”：健康和营养方案
587666,La sensació nord-americana abans desconeguda arriba a Londres.,以前未被发现的美国感觉来到伦敦。
614485,"Tot i que la majoria dels nens sobreviuen a aquest càncer, poden perdre la visió a l'ull o ulls afectats o necessiten que se'ls extirpi l'ull.",尽管大多数儿童在这种癌症中幸存下来，但他们可能会在受影响的眼睛中失去视力，或者需要将眼睛移除。
655014,"Primer, doncs, vaig recordar clarament haver rebut la carta del carter.",第一，然后，我清楚地记得收到邮递员的信。
663229,"He de fer alguna cosa, Christian.",我必须做点什么，基督徒。
677727,"A la primera etapa de la producció, el càlcul és senzill.",在生产的第一阶段，计算方法简单。
678901,Els empresaris i comerciants no entraran als llocs del meu pare.,买家和商家将不能进入我的父亲的地方。
696589,"Quan fem servir la paraula sant per descriure Déu, ens enfrontem a un altre problema.",当我们用圣洁来描述神，我们面临另一个问题。
705125,Altres formes d'energia no tenen un potencial tan gran.,其他形式的能源没有这么大的潜力。
712324,"Donat el nostre cicle de notícies actual, alguns d'aquests possibles impactes negatius són ara més clars.",鉴于我们目前的新闻报道，这些潜在负面影响中的一部分现在变得更加清晰。
718236,"Per tant, hi ha una bona opció: enfadar-se amb tothom, i amb els altres.",因此，有一个好的选择：要被愤怒的人，以及其他。
728637,Mahoma va ser l'únic profeta que va comandar 65 campanyes militars.,穆罕默德是唯一发动过65次军事行动命令的先知。
751202,"En resposta, el representant de la Xina va declarar que la Xina aplicaria les mesures següents abans de l'adhesió, llevat que s'indiqui el contrari:",对此，中国代表表示，中国将在加入之前实施下列措施，除非另有说明：
752118,Com i quan prendre l'espirulina depèn del que es vol aconseguir:,如何以及何时服用螺旋藻取决于你想要达成的目标：
770646,"Havia estat desperta tota la nit, fent alguna cosa o destruint alguna cosa, en privat.",她已经一整夜，使某事或破坏，在私人。
790532,"Sí, sobretot com a pilots de carreres sempre sents que en vols més.",是的，特别是作为赛车手，你总觉得你想要更多。
792121,Anteriorment les autoritats havien dit que aquestes dades de radar no es podien verificar.,当局此前曾表示无法验证此雷达数据。
793603,podria ser natural per a nosaltres veure una serp que no hi és.,自然可能让我们看到一条并不在那儿的蛇，
796767,"Des de la primera publicació de la Directiva RUSP 1 en 2003, la llista de substàncies restringides ha romàs inalterada fins ara.",自2003年RoHS1指令首次公布以来，其受限物质清单至今未变。
803097,"I el que és millor, escaneja l'ordinador i us ajuda a eliminar els controladors antics i incorrectes.",更好的是，它扫描您的计算机并帮助您删除旧的和不正确的驱动程序。
818054,"El meu avi té la intenció d'abandonar aquesta casa, va dir, i Barrois està mirant apartaments adequats per a ell en una altra.",“我祖父打算离开这所房子，“她说，“Barrois正在为他寻找合适的公寓。
