linea,tipo,razon,texto_original,porcentaje_automatico,detalles_base,detalles_avanzados,texto_catalan,texto_chino
92719,eliminacion_catalan,"caracteres_problematicos: {'”', '“'}","Helene, Òbviament no entens què significa la paraula “matrimoni” en una relació amb fills.",,,,,
95886,eliminacion_catalan,caracteres_problematicos: {'*'},* Ningú hauria de suposar que la carn o la sang són acceptables per a l'Únic Déu Veritable.,,,,,
186710,eliminacion_catalan,caracteres_problematicos: {'/'},A dalt a la teulada/Sota el passeig marítim (1998),,,,,
226202,eliminacion_catalan,caracteres_problematicos: {'»'},"Si Jesús va ser capaç de canviar l'actitud dels seus deixebles jueus envers els samaritans, no pot c...",,,,,
281943,eliminacion_catalan,"caracteres_problematicos: {'”', '“'}","No obstant això, sempre sabem si tenim un motiu “ocult” per a la nostra bondat.",,,,,
317453,eliminacion_catalan,caracteres_problematicos: {'·'},I tothom sap ara que un petit grup d'extremistes no anul·larà la voluntat del poble iraquià.,,,,,
383028,eliminacion_catalan,"caracteres_problematicos: {'»', '«'}",Pocs sants van exhalar «la bona olor de Crist» fins a tal punt com ell.,,,,,
411985,eliminacion_catalan,"caracteres_problematicos: {'[', ']'}","Honda està gastant [molts diners] i tots els fabricants, però intentem que sigui més barat per al mo...",,,,,
562299,eliminacion_catalan,caracteres_problematicos: {'/'},Bill va decidir quedar-se amb el vaixell i la família King i es va convertir en el patró/capità.,,,,,
576560,eliminacion_catalan,"caracteres_problematicos: {'”', '“'}","Arbor s'esforça per ser un “multiplicador de forces”, fent que els equips de xarxa i seguretat sigui...",,,,,
582785,eliminacion_catalan,caracteres_problematicos: {'·'},"Prometo (juro) als meus amics, professors, familiars i col·legues no utilitzar mai a la meva vida el...",,,,,
746403,eliminacion_catalan,caracteres_problematicos: {'·'},"Des de llavors, les nostres relacions amb els artistes s'han convertit en una part important del nos...",,,,,
772320,eliminacion_catalan,caracteres_problematicos: {'·'},"Al Mar de la Xina Meridional, la Xina ha construït sis grans illes, tres importants bases aèries i t...",,,,,
1029862,eliminacion_catalan,caracteres_problematicos: {'”'},Vols un final feliç?”,,,,,
1117142,eliminacion_catalan,"caracteres_problematicos: {'”', '“'}",El raonament darrere d'això podria ser que el 5G es considera tan important que només ha d'avançar o...,,,,,
1132132,eliminacion_catalan,caracteres_problematicos: {'·'},"Per tant, podem escriure la nostra declaració d'independència condicional de la següent manera: ""Si ...",,,,,
1201721,eliminacion_catalan,caracteres_problematicos: {'·'},"Mentrestant, la Casa Blanca està impulsant un augment de 72 per cent al finançament de la cibersegur...",,,,,
1228001,eliminacion_catalan,caracteres_problematicos: {'“'},“La confiança del comprador de l'habitatge va ser un factor durant tot l'any.,,,,,
1400303,eliminacion_catalan,caracteres_problematicos: {'#'},# Tota la resta que vulguis afegir a aquesta secció,,,,,
1459684,eliminacion_catalan,caracteres_problematicos: {'·'},"Hi ha un example primerenc del segle XII a Lincoln; a França, l'obra metàl·lica de les portes de Not...",,,,,
1462859,eliminacion_catalan,caracteres_problematicos: {'·'},"El 24 d'agost, l'empresa nord-americana va posar en òrbita un satèl·lit de recerca taiwanès.",,,,,
1519151,eliminacion_catalan,caracteres_problematicos: {'·'},"Deu anys després de l'inici de la Gran Recessió, és important entendre que la veritable arrel del co...",,,,,
1643785,eliminacion_catalan,caracteres_problematicos: {'“'},“No és com hauria de pensar un professional.,,,,,
1673025,eliminacion_catalan,caracteres_problematicos: {'“'},"“És per això que he decidit demanar al nostre director d'operacions, Dick Costolo, que es converteix...",,,,,
1725822,eliminacion_catalan,caracteres_problematicos: {'&'},"AT&T publica la System V Interface Definition (SVID), un intent d'establir un estàndard per al funci...",,,,,
1733590,eliminacion_catalan,"caracteres_problematicos: {'”', '“'}","No obstant això, basant-nos en les nostres observacions, ExpressVPN sol ser més fiable en “temps dif...",,,,,
1782912,eliminacion_catalan,caracteres_problematicos: {'“'},"“Per a mi, el disseny mai ha consistit a crear una altra cadira o una altra taula.",,,,,
1810196,eliminacion_catalan,caracteres_problematicos: {'·'},"7 claus de la novel·la 'El maestro y Margarita', revelant els secrets d'aquest llibre",,,,,
1838403,eliminacion_catalan,"caracteres_problematicos: {'”', '“'}","I com et pot dir qualsevol que hagi vist les notícies en els últims mesos, aquests potencials advers...",,,,,
1849783,eliminacion_catalan,"caracteres_problematicos: {'”', '“'}","Però per al Sr. Appel, els seus 522.000 empleats tenen un paper fonamental en la formació de la colu...",,,,,
1872668,eliminacion_catalan,caracteres_problematicos: {'“'},"“Tenia només 13 anys, però sabia que era un esdeveniment massiu.",,,,,
1933183,eliminacion_catalan,caracteres_problematicos: {'»'},"Tot i que no podràs intercanviar diners amb amics i familiars, podràs fer altres transaccions a trav...",,,,,
2032909,eliminacion_catalan,caracteres_problematicos: {'#'},#5 Ell mai treballa per fer-te arribar a l'orgasme.,,,,,
2050822,eliminacion_catalan,"caracteres_problematicos: {'”', '%', '“'}","Després d'acabar la sessió, em va dir que el seu nivell de dolor en general s'ha reduït en un 30% de...",,,,,
2065070,eliminacion_catalan,caracteres_problematicos: {'%'},"Segons un estudi publicat aquest mes pel U.S. Public Interest Research Group (US PIRG), fins al 90% ...",,,,,
2099715,eliminacion_catalan,caracteres_problematicos: {'–'},"Crea una societat artística o un estat policial, una ciutat industrial o una comunitat espiritual – ...",,,,,
2132652,eliminacion_catalan,caracteres_problematicos: {'“'},Thornton va dir: “El meu can't ve de la meva experiència... de la meva pròpia experiència.,,,,,
2139427,eliminacion_catalan,caracteres_problematicos: {'·'},És una mica més controvertit a les universitats de quatre anys perquè alguns professors veuen aquest...,,,,,
2150125,eliminacion_catalan,caracteres_problematicos: {'“'},“Mai he entès aquesta idea de no disparar directament amb la gent.,,,,,
2172318,eliminacion_catalan,"caracteres_problematicos: {'”', '“'}","“Nosaltres, com a arquitectes i planificadors, tenim la responsabilitat de marcar una gran diferènci...",,,,,
2178530,eliminacion_catalan,caracteres_problematicos: {'”'},"No obstant això, l'Associació de Criadors de Bestiar Miyetti Allah de Nigèria ha publicat 131 noms d...",,,,,
2330456,eliminacion_catalan,caracteres_problematicos: {'“'},"“No cal, doncs, deixar passar aquesta oportunitat, perquè Itàlia, després de tant d'espera, pugui pe...",,,,,
2371984,eliminacion_catalan,caracteres_problematicos: {'·'},Les eines utilitzades per a la col·laboració i el processament també tenen limitacions de seguretat.,,,,,
2417599,eliminacion_catalan,caracteres_problematicos: {'/'},"""Els mitjans socials estan canviant la nostra relació amb les notícies"", va dir Sara Cappe de Maru /...",,,,,
2509229,eliminacion_catalan,"caracteres_problematicos: {'[', ']'}",[2] L'organització d'esdeveniments i parlar en públic també es poden considerar formes de mitjans de...,,,,,
2629263,eliminacion_catalan,"caracteres_problematicos: {'%', '·'}",Més de nou de cada 10 consumidors (93%) estan d'acord que és important que tota interacció amb una m...,,,,,
2630655,eliminacion_catalan,"caracteres_problematicos: {'”', '“'}","Però creiem que amb el desenvolupament de la ciència, aquests misteriosos objectes desconeguts mostr...",,,,,
