linea,tipo,razon,texto_original,porcentaje_automatico,detalles_base,detalles_avanzados,texto_catalan,texto_chino
55463,eliminacion_catalan,caracteres_problematicos: {'“'},"“No ens va sorprendre veure millores, perquè havíem tingut èxit en els nostres estudis preliminars a...",,,,,
64437,eliminacion_catalan,caracteres_problematicos: {'”'},"Vull vendre diferents productes, fins i tot productes locals.”.",,,,,
89209,eliminacion_catalan,caracteres_problematicos: {'“'},“Sobre els sis punts o un buit o això o allò.,,,,,
103505,eliminacion_catalan,"caracteres_problematicos: {'«', '»'}",Dues d'elles eren variacions de «esperar a veure què passa en els pròxims 15 anys amb els treballado...,,,,,
123692,eliminacion_catalan,caracteres_problematicos: {'/'},Conté una gran quantitat d'eines Wifi Cracking/Hacking/PenTesting.,,,,,
223892,eliminacion_catalan,"caracteres_problematicos: {'“', '”', '·'}",Kurzweil diu que podrem “recuperar” els nostres familiars a través de la intel·ligència artificial.,,,,,
308555,eliminacion_catalan,"caracteres_problematicos: {'«', '»', '·'}","No estic segur de quines són les lleis al seu país, però al meu país una parella pot sol·licitar un ...",,,,,
347517,eliminacion_catalan,caracteres_problematicos: {'“'},“Continuarem Zamunda.,,,,,
459513,eliminacion_catalan,caracteres_problematicos: {'%'},"Les empreses nord-americanes afirmen que l'actual taxa impositiva federal 35% els fa ""poc competitiu...",,,,,
655829,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","Més aviat, els dispositius de classificació que apliquem per decidir si alguna cosa és “religiosa” o...",,,,,
719916,eliminacion_catalan,caracteres_problematicos: {'“'},"“Aquests nens poden continuar recuperant-se molt lentament, any rere any.",,,,,
746890,eliminacion_catalan,caracteres_problematicos: {'·'},Si la sol·licitud del Departament de Justícia i de la Comissió Federal de Comunicacions és aprovada ...,,,,,
781902,eliminacion_catalan,"caracteres_problematicos: {'“', '”', '–'}",“Generacions futures” sona abstracte – però el canvi climàtic afectarà fortament les vides de la mev...,,,,,
908173,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}",“1984 Is So Last Century: Privacy and Policing in the Information Age” (en anglès),,,,,
978097,eliminacion_catalan,caracteres_problematicos: {'/'},"Els MCM van ser desenvolupats inicialment per a l'emmagatzematge de dades, com la memòria de bomboll...",,,,,
980018,eliminacion_catalan,caracteres_problematicos: {'“'},"“Ens permet ser identificats i rastrejats en temps real, sense el nostre coneixement ni el nostre co...",,,,,
1018362,eliminacion_catalan,caracteres_problematicos: {'·'},"Des de la instal·lació, hem aconseguit reduir el nombre d'aplicacions als PC locals de 33 a 8.",,,,,
1136440,eliminacion_catalan,caracteres_problematicos: {'—'},"No sou —abans de res, vull dir-vos que no sou— el vostre passat.",,,,,
1208323,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","“Sydney sembla molt car, però després d'aconseguir una feina, crec que el poder adquisitiu és més al...",,,,,
1215494,eliminacion_catalan,caracteres_problematicos: {'—'},Aquesta comunitat revolucionària té una mena d'existència transtemporal: tots els individus —present...,,,,,
1284315,eliminacion_catalan,caracteres_problematicos: {'%'},"Facebook genera gairebé tots els ingressos (98,5%) dels anuncis",,,,,
1329997,eliminacion_catalan,caracteres_problematicos: {'·'},"El que és més important per a mi que el mètode que utilitzem per a resoldre-la, és el que permetrà l...",,,,,
1400418,eliminacion_catalan,caracteres_problematicos: {'·'},El període de funcionament del satèl·lit és de 12 estrelles.,,,,,
1426063,eliminacion_catalan,caracteres_problematicos: {'»'},13 Ell va dir: »Encara veureu abominacions encara més grans que estan cometent.».,,,,,
1459819,eliminacion_catalan,"caracteres_problematicos: {'<', '='}",n El dia julià basat en zero (0 <= n <= 365).,,,,,
1470761,eliminacion_catalan,caracteres_problematicos: {'“'},“Serà un component important de molts dels diferents índexs.,,,,,
1486208,eliminacion_catalan,caracteres_problematicos: {'”'},"De fet, una de les seves principals missions és la divulgació humanitària, gràcies també a l'ajuda d...",,,,,
1497358,eliminacion_catalan,caracteres_problematicos: {'“'},“Les víctimes demanen responsabilitats.,,,,,
1542576,eliminacion_catalan,"caracteres_problematicos: {'«', '»'}","Subratllant la necessitat d'extreure «lliçons de la història», advoca, per contra, per un compromís ...",,,,,
1551698,eliminacion_catalan,caracteres_problematicos: {'%'},El 6% sona realment baix.,,,,,
1703846,eliminacion_catalan,caracteres_problematicos: {'%'},"De mitjana, només s'obren el 23,9% dels correus electrònics de venda.",,,,,
1735190,eliminacion_catalan,caracteres_problematicos: {'%'},"Les dades preliminars mostren que, el 2016, només el 45% de la població mundial estava efectivament ...",,,,,
1823408,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}",“Acceptem que va ser un moment de bogeria pel qual has mostrat un gran remordiment.”,,,,,
1846985,eliminacion_catalan,caracteres_problematicos: {'•'},• Comunicar un enfocament positiu del cicle de vida de la sexualitat,,,,,
1886579,eliminacion_catalan,caracteres_problematicos: {'%'},"Aleshores, el 49% dels votants va dir que la perspectiva d'una guerra amb l'Iraq era la seva preocup...",,,,,
1929552,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}",La realitat és que no he pogut fer justícia amb la “posició” que m'havia assignat Hurriyat.,,,,,
1968557,eliminacion_catalan,caracteres_problematicos: {'“'},"“Els esculls més grans són els biocombustibles, que no es poden escalar ni fer complir de manera sos...",,,,,
2015328,eliminacion_catalan,caracteres_problematicos: {'—'},"—Taula, si us plau, però... hauria de vestir-me primer!",,,,,
