linea,catalan,chino
244,Però ningú no va seguir l'exemple de Bemmon i no es va fer mal.,但是没有人效仿贝蒙的榜样，也没有造成伤害。
4328,Sarcos diu que aquesta tasca sol requerir tres persones.,Sarcos说这个任务通常需要三个人。
30783,Tampoc es permet fer fotos o filmar (no és que això aturi molta gent).,你也不允许拍照或拍电影（这并不能阻止很多人）。
30831,"Però si es permet un any de llibertat real, l'esquerra i la joventut es poden organitzar.",可是，如果有一年的真正自由，那么，左派和年青人便可以自我组织。
56655,No et dirigeixis només als grans bancs: per què tots els bancs necessiten més capital,不要只针对大银行：为什么所有银行都需要更高的资本
74601,"Cinc centaus, si us plau, va dir la porta principal quan va intentar obrir-lo.",“五美分，拜托，“他的前门说，当他试图打开它。
94864,"Però això ho ha de decidir un mestre, no tu, no ho pots fer a través dels llibres.",但那必须由一个师父来决定，不是由你——你不能通过书本来做它。
95349,No dic a la gent que Déu els farà rics.,我不是告诉人们上帝会让他们变得富有。
109589,"Mai vas fer un pla millor, cap.",“你从来没有做过更好的计划，酋长。
116031,"No, no ens hem infiltrat a la vostra organització.",不，我们可没有渗透你们的组织。
122138,"""Tinc una o dues coses que m'agradaria fer ara que estic a la ciutat.",我有一两件事情，我希望现在我在城里。
130557,També discutirem el seu efecte potencial a l'educació superior.,我们还将讨论它对高等教育的潜在影响。
153660,"Fang: Des del meu punt de vista, ja que manejo el mercat nord-americà, esperem que certs clients augmentin les seves quantitats.",Fang：从我的角度来看，因为我负责美国市场，我们希望某些客户会增加产量。
153925,"Passem molt de temps debatent l'estratègia junts, i després confiem que els altres executin les tàctiques sense aprovacions prèvies.",我们花很多时间一起辩论战略，然后相信彼此无需事先批准就去执行战术。
164813,"Preguntem quants estudiants aprenen alguna cosa, i aquesta és una pregunta de qualitat.",我们问有多少学生学到了什么——这是一个质量问题。
170318,Estrany assumpte de l'oncle Harry,哈利叔叔的不寻常的韵事
180208,És més perillós perquè aquestes eines tenen un efecte destructiu.,它更危险，因为这些工具具有破坏性的影响。
188873,"Però amb les tensions a l'escola, sembla que es necessitaran...",但随着学校紧张局势的加剧，看起来他们需要彼此……
193199,Tendències en l'ús de diversos animals de recerca com a canvi percentual respecte a les xifres del 2008,使用各种研究动物的趋势比2008年数字的百分比变化
205013,"També demano als Estats que utilitzin la seva ajuda al desenvolupament de forma més eficaç, per a promoure els objectius en matèria de drets humans que realment fomenten el desenvolupament.",我也要求各国更加有效地利用它们的发展援助，推动能够真正打造发展的人权目标。
213691,"Irònicament, vam llençar aquest te anglès a l'oceà.",具有讽刺意味的是，我们将英式茶倒入了大海。
217120,Els funcionaris del Palau van dir que els plans de cap de setmana són privats.,宫廷官员说他们的周末计划是私人的。
219474,El nostre diari està dedicat al problema del treball comunista.,我们这张报纸[157]是专门讨论共产主义劳动问题的报纸。
221583,"A més, potser pensem que es prenen els millors, o suposem que si algú és una gran captura, no estaria solter.",同时，也许我们只是认为最好的被拿走了，或者假设某人是一个伟大的猎物，他们不会是单身。
238687,L'AIE actualitza les dades d'emissions de carboni abans de les negociacions sobre el canvi climàtic i revela les tendències recents,IEA在气候变化谈判前更新碳排放数据，揭示最新趋势
250619,Almenys el teu bloc ajuda confirmant el que estic veient des del meu angle.,至少你的博客有助于确认我从我的角度所看到的东西。
254034,El més important és que va contractar els millors tècnics de telecomunicacions i experts en informàtica.,最重要的是，他聘请了最好的电信技术人员和IT专家。
259666,"Com va dir Mark Twain, ""La meva mare va tenir molts problemes amb mi, però crec que ho va gaudir"".",马克·吐温说，“我给妈妈带来了无数麻烦，但是妈妈还挺享受。”
259956,Creuen que és un càstig de Déu.,我们相信这是上帝的惩罚。
282994,"Dit això, la Lisa hauria d'haver corregut cridant d'aquest home.",也就是说，丽莎应该从这个人那里尖叫着跑出来。
294805,"Fa temps que estic en la confiança d'Allan Woodcourt, encara que ell no ho estava, fins ahir, unes hores abans que tu vinguessis aquí, a la meva.",我一直在艾伦Woodcourt的信心，虽然他没有，直到昨天，几个小时在你来到这里之前，在我的。
331701,"La majoria de les parelles, però, no volen donar els seus embrions a altres parelles.",然而，大多数夫妇不想将他们的胚胎捐赠给其他夫妻。
333081,"Cada matí, amb un aire sempre nou, Herbert entrava a la ciutat per mirar al seu voltant.",每天早晨，一种新的空气，赫伯特进城去看他。
344760,"En canvi, és una història que està sent concebuda i propagada per al benefici dels creadors de mites 5G.",相反，这是一个正在构思和传播的故事，以造福5G神话的缔造者。
349592,"No t'ho va dir perquè no era definitiu, va dir Shea suaument.",他没有告诉你因为它不是最终的，Shea温柔地说。
356474,"Volem crear un projecte habilitat per a Java, o, per ser més exactes, un projecte amb un mòdul Java.",我们希望创建一个支持Java的项目，或者更准确地说，是一个带有Java模块的项目。
362484,Els fabricants no han de revelar exactament el que significa i sol ser una combinació de productes químics.,制造商不必透露它的确切含义，它通常是一种化学物质的组合。
