linea,catalan,chino
14032,Abans vivia amb Jason; ara estem separats.,我以前和杰森住在一起；现在我们分开了。
14667,Per què els bancs de Tunísia són la seva principal feblesa econòmica,为什么突尼斯的银行是其主要的经济弱点
38042,El futur de governar: quatre models emergents.,《政府未来的治理模式TheFutureofGoverning：FourEmergingModels》。
67431,Ara El nou Bixby pot ajudar els usuaris a fer més coses.,如今ThenewBixby能够帮助用户做更多的事情。
69574,Pew: Els préstecs estudiantils solen significar més deute global,皮尤：学生贷款通常意味着更多的整体债务
77062,"Per si no n'hi hagués prou, s'ha afirmat insistentment que els russos també intentaven assassinar-lo perquè Stalin ho odiava.",如果这还不够，一直有传言说，俄罗斯还试图暗杀他，因为斯大林恨他。
77232,"Com mostren els comentaris, hi ha moltes raons per estimar la nostra escola especial.",由于言论表明，有这么多的理由要爱我们的特殊学校。
98735,"De mitjana, les dones negres van trigar 49 mesos a tornar a l'etapa innòcua.",平均来说，黑人女性花了49个月的时间才回到无害的阶段。
167986,Molts altres creien que no serien veritablement lliures sota Castro i el seu règim comunista.,许多人认为，在卡斯特罗和他的共产主义政权统治下，他们不会真正自由。
170396,No necessàriament es trasllada a la vida quotidiana o a una altra experiència.,“它不一定会延续到日常生活或其他经历中。
177963,"Si sostens el teu iPhone cap al cel, Star Walk et pot dir on és l'Estació Espacial Internacional en aquest mateix moment.",如果你把你的iPhone朝向天空，StarWalk可以告诉你此刻国际空间站的位置在哪里。
184628,"La pregunta, per què l'anterior propietari del cotxe o el concessionari es vol desfer del cotxe, ens pot perseguir.",这个问题，为什么以前的车主或经销商想摆脱汽车，可能困扰我们。
184747,Depèn dels meus sentiments o experiències passades com a fonts de veritat absoluta.,依赖于我的感觉或过去的经验作为绝对真理的来源。
186161,La majoria de la gent es casa a Las Vegas està borratxa.,大部分在Vegas结婚的人都喝醉了！
189700,Sempre he pensat que un port d'energia a banda i banda té més sentit.,我一直认为两侧的电源端口更有意义。
191079,"Està destinat principalment als creadors d'aquestes eines, en lloc de ser una manera recomanada de crear les vostres pròpies extensions de C.",它主要用于这些工具的创建者，而不是建议你创建自己的C扩展的方法。
196067,"Per a algú que es preocupa tant per la pròpia imatge, tot l'assumpte ha estat un desastre per a Henry.",对于那些非常关心自己形象的人来说，整个事情对亨利来说都是一场灾难。
208164,Els seus pares volien que estudiés Medicina i Cirurgia com a millor alternativa al futbol.,他的父母希望他学习医学和手术，作为一个更好的替代足球。
217235,"A tot Hollywood, a les xarxes socials i fins i tot a França, estan sorgint acusacions d'assetjament sexual.",在整个好莱坞、社交媒体上，甚至是在法国，关于性骚扰的指控不断涌出。
243518,"Guanyar més llibertat és probable, ja que els viatges amb avió o Internet us ajuden a experimentar més del món.",获得更多的自由是可能的，航空旅行或互联网将帮助你体验更多的世界。
244329,L'Hora del Planeta és només un dels pocs esforços que es poden fer per salvar la terra.,地球一小时只是拯救地球所能做的少数努力之一。
253626,"La Terra és preciosa per a Ell, i danyar la Terra és menysprear el seu creador.",大地对祂是珍贵的，对大地的伤害，是对造物主的轻蔑。
288488,Les estrelles de rock multimilionàries em diuen cada dia.,摇滚明星的亿万富翁，每天打电话给我。
293703,"Tot i que és a prop de tot, des dels millors restaurants de la ciutat fins al Palau Presidencial de la Casa Rosada, el Palacio Duhau té tot el que puguis necessitar.",尽管它靠近从城市顶级餐厅到CasaRosada总统府的所有景点，但PalacioDuhau拥有您可能需要的一切。
301993,Les veritables raons per les quals ningú vol ser policia als Estats Units.,的真正原因没有人愿意成为美国一名警官。
322870,Richard havia rebut una carta semblant i havia donat una resposta semblant.,李察收到了一封类似的信，并做出了类似的反应。
327380,Mai no em va dir que tenia por dels gossos.,他从来没有告诉我他怕狗。
329339,"Seria un xoc massa gran, tant per als dimonis com per a ella.",这将是太大的冲击，为她的恶魔和她。
331577,"""Bé"", va dir, ""si puc preguntar, per què va matar l'home a la seva dona?",好吧，”他说，”如果我可以问，为什么那个人杀死他的妻子吗？
331875,"Quan resaven pels que ens odien, ella intentava pensar en els seus enemics i en la gent que l'odiava, per pregar per ells.",当他们为那些憎恨我们的人祈祷时，她试着去想她的敌人和憎恨她的人，为他们祈祷。
