linea,tipo,razon,texto_original,porcentaje_automatico,detalles_base,detalles_avanzados,texto_catalan,texto_chino
9607,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","“Sempre ens donen massa menjar, saps?”",,,,,
44708,eliminacion_catalan,caracteres_problematicos: {'“'},"“En el passat, els CSD treballaven en una estructura de monopoli perquè eren el seu propi país i cad...",,,,,
145183,eliminacion_catalan,caracteres_problematicos: {'“'},“L'Institut Neymar organitza aquests esdeveniments cada any i tothom sap les dates.,,,,,
272842,eliminacion_catalan,caracteres_problematicos: {'·'},"Hi ha raons legítimes per sol·licitar un altre passaport, però hi ha acusacions que s'està abusant d...",,,,,
387691,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","“Dotze milions i mig de dòlars”, va protestar Henry Foster quan el Savage li ho va dir.",,,,,
405092,eliminacion_catalan,caracteres_problematicos: {'%'},Al voltant del 26% de les persones a l'estudi havien passat prèviament per una avaluació involuntàri...,,,,,
453439,eliminacion_catalan,caracteres_problematicos: {'“'},“Vull que sàpigues que aquesta Casa Blanca està lluitant per tu.,,,,,
476859,eliminacion_catalan,caracteres_problematicos: {'“'},"“Les mesures ajudaran a facilitar l'economia de plataforma, que al seu torn ajudarà a accelerar el c...",,,,,
571980,eliminacion_catalan,caracteres_problematicos: {'•'},• Instrumentació científica: La investigació mèdica utilitza nombrosos instruments científics per es...,,,,,
605228,eliminacion_catalan,caracteres_problematicos: {'“'},"“El robot necessitaria conèixer la seva pròpia forma per poder tocar, subjectar i ajudar les persone...",,,,,
731244,eliminacion_catalan,caracteres_problematicos: {'—'},—I si els treballadors d'IBM haguessin dit que no?,,,,,
794722,eliminacion_catalan,caracteres_problematicos: {'“'},"“Ells tenen el 10 per cent de l'empresa i, de moment, jo segueixo sent el CEO.",,,,,
870575,eliminacion_catalan,caracteres_problematicos: {'«'},"No obstant això, si ens fixem bé, veurem que el poder salvador de Déu es destaca com una part integr...",,,,,
966199,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}",“Estem fent els nostres millors esforços per obtenir alleugeriment de l'u. tarifes auto.”.,,,,,
978618,eliminacion_catalan,caracteres_problematicos: {'&'},"Si no la tinguéssim, ningú seria capaç de distingir la diferència entre la meva xarxa i AT&Ts.",,,,,
991513,eliminacion_catalan,caracteres_problematicos: {'“'},“Crec que tothom va experimentar l'amor tràgic i molta gent reconeixerà la seva pròpia història en a...,,,,,
1043422,eliminacion_catalan,caracteres_problematicos: {'“'},"“Massa sovint, immediatament imaginem l'ideal: quin és el millor resultat possible.",,,,,
1055944,eliminacion_catalan,caracteres_problematicos: {'«'},"«Quan una persona travessa el llindar de l'eternitat, només hem de recordar que Déu coneix el verita...",,,,,
1143615,eliminacion_catalan,"caracteres_problematicos: {'[', ']'}","Hem de deixar de tractar-la com una malaltia a curt termini, [el que fem ara] donant als pacients un...",,,,,
1162212,eliminacion_catalan,caracteres_problematicos: {'%'},"Tot i que la transició digital a l'assistència sanitària continua sent lenta i cautelosa, en els dar...",,,,,
1217472,eliminacion_catalan,caracteres_problematicos: {'·'},"Mentrestant, Julia va ficar tranquil·lament la resta dels gots a la nevera.",,,,,
1231873,eliminacion_catalan,caracteres_problematicos: {'“'},"“Sempre he volgut jugar a Austràlia d'alguna manera, en algun moment de la meva carrera, i he estat ...",,,,,
1255677,eliminacion_catalan,caracteres_problematicos: {'%'},El 91% de les persones s'agafen el nas.,,,,,
1320361,eliminacion_catalan,caracteres_problematicos: {'>'},>> Més informació sobre l'Observatori Skywalk.,,,,,
1348074,eliminacion_catalan,caracteres_problematicos: {'·'},"En un cas, el temps més curt per preparar un il·legal per al nostre propòsit específic va ser de 7 a...",,,,,
1423932,eliminacion_catalan,caracteres_problematicos: {'·'},"Tant si l'autodefensa és individual com col·lectiva, només es pot exercir en resposta a un atac arma...",,,,,
1443547,eliminacion_catalan,caracteres_problematicos: {'·'},"A les rutes de l'interior d'Alemanya, els passatgers poden utilitzar el tren, independentment que el...",,,,,
1485512,eliminacion_catalan,caracteres_problematicos: {'·'},Els proveïdors de serveis sanitaris indonesis estan invertint agressivament en noves instal·lacions ...,,,,,
1620907,eliminacion_catalan,caracteres_problematicos: {'&'},Després d'això vaig començar a treballar a E & R Classics.,,,,,
1645588,eliminacion_catalan,caracteres_problematicos: {'·'},"Al cor d'aquesta novel·la hi ha Manu, una noia de 15 anys, i la seva família catòlica-italiana, que ...",,,,,
1649961,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","“Tinc l'esperança que anem a veure, ara, tendències consistents i enfocades que van en la direcció o...",,,,,
1674485,eliminacion_catalan,caracteres_problematicos: {'·'},"Des de Groningen fins a Limburg, més de 300 museus holandesos obren les seves col·leccions.",,,,,
1752453,eliminacion_catalan,caracteres_problematicos: {'“'},“Tothom en cada generació avui està més disposat a utilitzar l'última tecnologia en el mercat.,,,,,
1773173,eliminacion_catalan,caracteres_problematicos: {'·'},Els sistemes de vida poden ser tan simples com una sola cèl·lula o tan complexos com una organitzaci...,,,,,
1774347,eliminacion_catalan,caracteres_problematicos: {'·'},"Però aviat descobreixes la intel·ligència que et permetrà caminar sobre la Terra, i comences a pensa...",,,,,
1898014,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","Però afegeix: “Suspenem la declaració d'independència durant unes setmanes, perquè volem un diàleg r...",,,,,
2063461,eliminacion_catalan,"caracteres_problematicos: {'“', '+'}","“Estem duent a terme assajos amb una sèrie de socis externs, tots amb l'objectiu d'aconseguir un eco...",,,,,
2148985,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","Roybal diu: “Highlands va transformar la meva vida, no només en el sentit que va ampliar enormement ...",,,,,
2231341,eliminacion_catalan,"caracteres_problematicos: {'“', '·'}",“Els nostres membres viatgen als nostres esdeveniments des de molts països i l'ambient és excel·lent...,,,,,
2238332,eliminacion_catalan,caracteres_problematicos: {'%'},"És del 7% al 12% del pes humà, quan el vas cobrir, sentiràs que t'abracen per dormir.",,,,,
2282995,eliminacion_catalan,caracteres_problematicos: {'•'},"2018-08-14 • Vostè té un no veure el vídeo, feu clic aquí!",,,,,
2372844,eliminacion_catalan,caracteres_problematicos: {'–'},El sant catòlic Francesc (1181–1226) estimava els animals i el món natural.,,,,,
2401776,eliminacion_catalan,"caracteres_problematicos: {'·', '/'}",Els sol·licitants també han de ser professionals de la salut registrats/llicenciats amb un interès d...,,,,,
2404941,eliminacion_catalan,caracteres_problematicos: {'“'},"“Probablement la idea més gran és que la felicitat no és només un lloc, sinó també un procés.",,,,,
2416802,eliminacion_catalan,caracteres_problematicos: {'>'},> Encara que aquesta forma pot no ser òbvia al principi a no ser que siguis holandès.,,,,,
2430791,eliminacion_catalan,caracteres_problematicos: {'“'},“Podem construir més panells solars.,,,,,
2477160,eliminacion_catalan,caracteres_problematicos: {'·'},"En teoria, la tecnologia és simple, barata i capaç de ser desplegada per un sol país o un petit grup...",,,,,
2477772,eliminacion_catalan,"caracteres_problematicos: {'%', '/'}",Vacunacions: 73 variacions amb 70/76 participants (92%) veuen resultats únics.,,,,,
2573533,eliminacion_catalan,caracteres_problematicos: {'·'},El primer va ser al·ludit més amunt: com un procés pot passar informació a un altre.,,,,,
2604597,eliminacion_catalan,caracteres_problematicos: {'%'},"Gairebé el 90% de les persones amb pèrdua d'audició viuen a països d'ingressos baixos i mitjans, que...",,,,,
2611247,eliminacion_catalan,caracteres_problematicos: {'“'},“Vaig veure un nen a terra i una senyora el sostenia.,,,,,
2612091,eliminacion_catalan,caracteres_problematicos: {'%'},"El 56% va completar només una educació universitària parcial, una escola tècnica o de comerç, o nomé...",,,,,
2633646,eliminacion_catalan,caracteres_problematicos: {'“'},“Potser és part de la condició humana que no podem analitzar o explicar allò que més ens espanta.,,,,,
2854438,eliminacion_catalan,caracteres_problematicos: {'–'},La meditació fa que moltes coses de les que intentes fugir – en la teva vida i en tu mateix – siguin...,,,,,
2894824,eliminacion_catalan,caracteres_problematicos: {'~'},Tothom a la Terra té un tresor que l'espera. ~ Paulo Coelho,,,,,
2901119,eliminacion_catalan,caracteres_problematicos: {'“'},"“Si ho fes tot bé, potser tots els membres estarien vius.",,,,,
3022799,eliminacion_catalan,caracteres_problematicos: {'”'},Si hagués anat a Espanya o Anglaterra hauria estat una cosa molt semblant al que ja havia viscut.”.,,,,,
