linea,tipo,razon,texto_original,porcentaje_automatico,detalles_base,detalles_avanzados,texto_catalan,texto_chino
14533,eliminacion_catalan,caracteres_problematicos: {'·'},"Aquesta cel·la està molt bruta, ja saps, Andy.",,,,,
61616,eliminacion_catalan,caracteres_problematicos: {'·'},"Moltes vegades, quan fas una pel·lícula, sembla el teu error més gran.",,,,,
64480,eliminacion_catalan,"caracteres_problematicos: {'[', ']'}",Necessitem un compromís nacional per crear milions de nous llocs de treball [verds].,,,,,
139813,eliminacion_catalan,caracteres_problematicos: {'%'},"Això és just, però no canvia el fet que les xifres anuals de l'informe belga van augmentar realment ...",,,,,
174619,eliminacion_catalan,"caracteres_problematicos: {'»', '«'}",Però a un altre nivell el Primer Ministre té raó quan diu que Gran Bretanya és «cristiana».,,,,,
289752,eliminacion_catalan,caracteres_problematicos: {'—'},"Aquestes rebaixes podrien acabar d'aquí a una hora o per setmana a partir d'ara — òbviament, l'única...",,,,,
342546,eliminacion_catalan,caracteres_problematicos: {'“'},"“El sexe no és realment un treball dur, depenent de qui estigui assumint el paper dominant.",,,,,
558183,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","Per això dic a les dones que no juguin, sinó que “no facin res” i esperin a veure la rapidesa amb qu...",,,,,
626975,eliminacion_catalan,caracteres_problematicos: {'“'},“És només si els terroristes ataquen que vénen.,,,,,
663281,eliminacion_catalan,caracteres_problematicos: {'‘'},"-Dirà a en John: ‘Heu estat ací durant la Segona Guerra Mundial, oi?'",,,,,
750380,eliminacion_catalan,caracteres_problematicos: {'%'},Les estadístiques mostren que el 44% dels llocs de treball majoristes i detallistes seran ocupats pe...,,,,,
930169,eliminacion_catalan,caracteres_problematicos: {'·'},"Durant els darrers anys, els nostres graduats han estat col·locats en diferents posicions de mercat.",,,,,
958682,eliminacion_catalan,caracteres_problematicos: {'/'},Durant un projecte a gran escala/llarg termini no hauries de treballar en res més que en aquest proj...,,,,,
1075493,eliminacion_catalan,caracteres_problematicos: {'·'},"Per example, és possible que vulgueu col·locar la unitat en una cantonada, i en aquest cas haureu d'...",,,,,
1083554,eliminacion_catalan,"caracteres_problematicos: {'»', '«'}","«Destruiré les Empreses Buchanan», diuen.",,,,,
1123709,eliminacion_catalan,caracteres_problematicos: {'“'},“En la reconstrucció dels Estats Units també estem plenament compromesos amb el desenvolupament de l...,,,,,
1134074,eliminacion_catalan,caracteres_problematicos: {'%'},"Entre aquestes persones, només el 36,17% dels usuaris en una setmana, i el 38,3% dels usuaris van di...",,,,,
1152918,eliminacion_catalan,caracteres_problematicos: {'·'},"Però aquesta vegada, la indústria de defensa russa sembla més segura de poder protegir-ne la propiet...",,,,,
