linea,catalan,chino
17829,"A més, ella i Jerry estaven bregant amb una burocràcia gran i complexa.",此外，她和杰里被处理一个大的复杂的官僚机构。
23454,L'Organització de les Nacions Unides (1960) i les seves agències especialitzades,联合国（UN）（1960）及其专门机构；
40459,Hem esperat anys per a fer una cosa bona amb Croàcia.,我们已经等了好几年才能和克罗地亚做点大事。
67357,És la manera com els seus cervells van ser programats des del principi.,这是他们的大脑在早期就被编程的方式”。
74746,"En primer lloc, com actua Austràlia per protegir els nostres oceans.",首先，澳大利亚将如何采取行动保护我们的海洋。
85488,Ho odio perquè va ser el meu primer petó al meu aniversari número 13.,我恨他，因为他是我在我13岁生日的第一个吻。
96072,No vam aconseguir rodes més ràpides ni màquines més petites ni medicaments més eficaços.,我们并未得到更快的轮子、更小的机器或是更有效的药品。
98168,"A més dels consumidors locals, també ens beneficiarem del trànsit turístic.",除了本地消费者，我们也将受益于旅游交通。
117644,"I, quan es va completar el 1969, tots els informes indiquen que ho va fer.",而且，到1969年完成的时候，所有的报道都表明他做到了。
131481,"La meva definició de lideratge és molt simple: si influeixes positivament en algú, ets un líder.",我对领导力的定义十分简单：如果你积极地影响了某个人，你就是一名领导者。
142972,Swainson: Tenim vuit adquisicions i vuit sistemes de comanda.,Swainson：我们有八个收购产品和八个订购系统。
161066,Nosaltres (tots els indígenes) som gent normal.,我们（所有土著人民）都是普通人。
174424,"No sempre ha estat una relació fluida, però ha portat riquesa i comerç.",它并不总是一个平稳的关系，但它带来了财富和贸易。
175975,"Podríem esperar que vinguessin dies més difícils, però els Estats Units no es retirarien del món ni de les nostres responsabilitats de lideratge mundial.",我们可以期待更加艰难的日子，但美国不会退出世界或我们的全球领导责任。
181519,El que més espera és que aquests no siguin els darrers dies de la seva presidència.,他最希望的就是，这些天不会成为他总统任期的最后几天。
188462,"A Eva li convindria esperar fins als 70 per cobrar la seva Seguretat Social, perquè la seva prestació seria molt més gran.",伊娃最好等到70岁才能收集她的社会保障，因为她的福利会更大。
205605,La realitat és que aquest país no guanyarà res amb una política tan unilateral.,现实情况是，这个国家从这样一个单方面的政策中不会获得什么。
205891,"Es va disculpar amb McCloughan, amb McCarthy i amb tothom.",他向McCloughan，McCarthy和所有人道歉。
209994,"Hi ha almenys sis tipus d'extremistes polítics que operen als Estats Units, segons els experts del govern.",至少有六种类型在美国工作的政治极端分子，根据政府的专家。
279999,Mai deixarem de treballar per guanyar-ho i mantenir-ho.,我们将永远不会停止工作以赚取和维护它。
280940,"En segon lloc, el somni fa que els animals responguin més lentament.",其次，睡眠使动物变得反应迟缓。
289416,"-Parlaré com vulgui, maleït siga.",“我会说我喜欢的任何方式，该死的你。
297561,"Tot i això, l'escola s'ocuparà de qualsevol problema que el seu fill pugui trobar.",但是，学校将处理您的孩子可能遇到的任何问题。
308743,Més de 30 MPG Highway: el nou punt de referència per als cotxes ecològics?,超过30条MPG高速公路：绿色汽车的新基准？
325238,"""Però les coses escrites aquí provenen del llibre misteriós?""",但是做的事情写在这里来自神秘的书吗？
332093,"Com RHEL, CentOS és compatible amb aproximadament 7-10 anys d'actualitzacions de seguretat.",像rhel一样，centos支持大约7–10年的安全更新。
344840,"El primer dia de 12 dies de QCSS, parlem de com és de necessari ser positiu i amigable per telèfon.",在QCSS举行的12天的第一天，我们讨论了在电话中保持积极友好的必要性。
349807,"Els impulsors N-sèries augmenten la pressió del sistema existent en llocs específics, elevant-lo fins a 45 bars.",N系列增压器可在特定位置增大您的现有系统压力，将其提升至高达45bar。
369688,"Si us plau, no em facis mal, dic, només vull anar-me'n a casa.",请别伤害我，我说，我只是想回家。
372228,C. La governança de les malalties urbanes ha esdevingut una tasca urgent,C、城市病的治理成为一项刻不容缓的任务
379771,"Robert Bruce, en tornar a Escòcia, va continuar augmentant la seva força allà.",罗伯特·布鲁斯（RobertBruce）回到了苏格兰，仍然增加了他的实力。
430197,"Tot i així, ha reconegut que malgrat els seus esforços per preservar la cultura de Berkshire per al futur, les coses canviaran.",然而，他已承认，尽管他努力在未来保留Berkshire的文化，但情况还是会发生改变。
430872,Després ho va cantar en silenci durant 10 o 15 minuts.,然后他默默地为10或15分钟吟唱它。
445993,Steptoe va ser capaç de superar els problemes de malalties que hem trobat o si el nadó del Sr. i la Sra. Brown necessita ser portat a la bona sort.,Steptoe博士是否已经能够克服我们发现的问题，或布朗先生和夫人的宝贝是否必须得到好运。
468135,El terme 2 de febrer preval a la major part del país.,“2月2日”这个词在全国大部分地区都很流行。
492029,"La ciència encara no pot sentir que hi ha res més que l'aire, però l'Índia hi ha estat experimentant durant segles.",科学还没办法感觉除了空气以外还有什么东西；但印度对它的实验已经有几个世纪了。
504729,La realitat és que Manfred ha decidit que hi ha una mica de greix en el joc.,事实是曼弗雷德已经决定游戏中有一些脂肪。
505251,"Ara que el gran dia hi és, el primer és que probablement això no sigui un esdeveniment esportiu: és una trobada social.",现在大白天在那里，第一件事就是这可能不是一个运动事件：这是一个社交聚会。
517222,"BEAMS El Japó representa el Japó, que no és ni massa antic ni massa nou.",BEAMSJAPAN提供的是不会太老旧，但也不会太新潮的日本。
522743,"Tenim una casa moderna de 3 pisos a mitjans del segle, amb el primer nivell servint com la nostra unitat de convidats.",我们有一个3层的世纪中叶的现代家居，与作为我们的嘉宾单位的第一级。
526849,'Amb qui estàs?',你们说，你们跟谁？”
527320,"L'erupció es va produir per primera vegada el 1913, l'última va ser en el passat.",“喷发最早发生在1913年，最后一次发生在过去。
560746,3 Per què el president dels Estats Units està envoltat de generals molt respectats?,为什么美国总统身边围绕着受到高度尊敬的将军？
575931,"""Amb l'accés i el finançament, els humanitaris faran més, però no som la solució a llarg termini a aquesta crisi creixent"", va dir.",“通过获取和资金，人道主义者将做得更多，但我们不是解决这一日益严重的危机的长期解决方案，”他说。
576189,Pregunta-li a Chuck: Com trio una carrera?,提问查克：我该如何选择职业？
599751,"Com ja sabreu, els diferents climes i regions geogràfiques poden enfrontar-se a diferents nivells d'humitat.",正如你可能知道的，不同的气候和地理区域可能面临不同的湿度水平。
622610,"Seleccioneu els vostres èxits i experiències educatives més impressionants, però assegureu-vos que siguin rellevants per al tema.",选择你最令人印象深刻的教育成就和经验，但要确保它们与主题相关。
623962,"Hi ha 8 esglésies a la ciutat, només una és de fusta.",城市里有8座教堂，其中只有一座是木制的。
