linea,catalan,chino
7181,Recorda: la filosofia només requereix allò que la teva naturalesa ja exigeix.,记住：哲学只需要你本性已经要求的东西。
8754,Els seus cinc Jocs Olímpics d'hivern són els més importants entre les dones japoneses.,她的五场冬季奥运会是日本女性中最多的。
11852,"Però mai no s'ho havia cregut, ni tan sols quan en Percy va venir al campament.",但她从未真正相信过，甚至当佩尔西来到营地的时候。
17191,Estem desitjant que comencis a traduir i a entendre el món una mica millor.,我们不能等待你开始翻译和理解世界只是一点点更好。
50333,L'anticapitalisme i l'antiracisme poques vegades s'obliden.,反资本主义和反种族主义很少被遗忘。
54035,"Va dir: ""S'ha de fer tan senzill com qualsevol aplicació o lloc web normal"".",他说，“它必须像任何普通的应用程序或网站一样简单。”
56819,Acabes de trobar accidentalment la propera víctima del nostre assassí en sèrie.,“你只是偶然发现了我们的连环杀手的下一个VIC。
81080,"Perquè va pensar: ""Ell també pot morir, com els seus germans. "".",因为他心里想：“恐怕他也如同他哥哥们一样死去。
81812,"Però si alguna cosa fos realment important, per què ho posaries a Facebook?",但是如果真的是重要的东西，你为什么要把它在Facebook上吗？
89932,Saluda i digues clarament el teu nom complet.,说“你好”，并清楚地说出自己的全名。
93475,Vaig anar a la meva oficina legal militar local i vaig veure un especialista legal.,我去了当地的军事法律办公室，看到了一位法律专家。
112788,"Per desgràcia, pocs al Pakistan han llegit el document d'Ahmad i Mohammed o han debatut la seva importància.",不幸的是，没几个巴基斯坦人读过艾哈迈德和穆罕默德的论文或者讨论过它的重要性。
119187,Aquesta línia s'anomena límit de decisió i també n'he escrit l'equació.,这条线称之为决策边界，我还把它的方程式写了下来。
139508,També oràvem per la voluntat de Déu.,我们的祷告也照著上帝的旨意。
148697,Hi ha algun espai al debat sobre el desenvolupament per als experts africans?,上一篇：在非洲专家的发展辩论中是否还有空间？
152550,"No, hem d'establir una àmplia base de vigilància nacional contra la corrupció en el seu lloc",不，我们应该建立一个全国性基础广泛的反腐败监督，而不是
154359,"Tot i que generalment reconeixem que la formació en gestió té valor, per què els líders de les empreses innovadores ofereixen crítiques tan dures?",虽然我们普遍承认管理学培训有其价值，但为什么创新公司的领导者会提出如此尖锐的批评呢？
160030,JavaScript competirà directament amb altres llenguatges.,JavaScript将直接与其它语言竞争。
