linea,catalan,chino
7350,En Moriarty tornarà a fer el que hauria de fer.,莫里亚蒂将再次做我应该做的事。
25145,"Ningú sap què creure, a qui creure, cadascú és a la seva petita bombolla.",没人知道该相信什么，该相信谁，每个人都活在自己的小泡泡里。
37621,Tenia curiositat per veure què faria quan s'enfrontés a una dona.,我很好奇的想看看他会怎么做当面对一个女性。
38409,Els resultats que han tornat avui han confirmat els vincles entre tots tres casos.,“今天回来的结果证实了三个案件之间的联系。
45473,No cal que m'allotgi en un hotel costós; on sigui que m'allotgi soc Henry Ford.,对我而言没必要住在昂贵的旅馆里，我在哪儿都是亨利·福特。
91192,"Se li havia permès romandre a la Junta, tot i que no tenia ni un cèntim.",他被允许呆在黑板上，尽管他没有镍。
109699,"Quan va morir, un important diari nacional va escriure que Maggie no tenia fills.",当她去世时，一家全国性的重要报纸写道，玛姬没有孩子。
138295,"A l'IMLR, Robert persegueix el seu projecte actual: 'Quan els poetes es converteixin en herois'.",在imlr罗伯特追求他目前的项目，“当诗人成为英雄。
146264,Els civils que utilitzaven aquests corredors van ser assassinats o ferits posteriorment.,平民使用这些走廊随后被杀或受伤。
188324,"La terra i tot el que hi ha, els mars i tot el que hi ha, i els preserves tots.",地上的万物，海和海中所有的，这一切都是你所保存的；天军也都。
197613,"""En total, des del començament de Mossul, 760.000 civils han abandonat les seves llars i estem estudiant la possibilitat que altres 200.000 civils se'n vagin"", va dir.",“总而言之，自摩苏尔开始以来，已有76万平民离开家园，我们正在考虑另外20万平民离开的可能性，”她说。
202189,Però això és a les mans de Déu.,但那是在上帝的手中。
212889,"Al mateix temps, el resultat del partit de Polònia contra el Japó també determinarà, en gran manera, la sort dels altres tres equips d'aquest grup.",同时，波兰对日本的比赛结果将在很大程度上决定该小组其他三支球队的命运。
226508,L'RBS geogràfic és en la majoria dels casos no convencional.,地理RBS在大多数情况下是非常规的。
235194,Un atleta de 17 anys ha atret la polèmica a la xarxa perquè la gent diu que sembla molt més gran del que diu ser.,一名17岁的运动员在网上引起了争议，因为人们说他看起来比他声称的要老得多。
235269,"A principis del segle XX, un científic francès va impedir que un grup de gossos dormís durant 10 dies.",20世纪初，一名法国科学家连续十天不让一群狗睡觉。
236013,"En molts sentits, l'espècie acabada de descobrir continua sent un misteri.",在许多方面，新发现的物种仍然是个谜。
240634,"O bé, ell o ella podria estar usant la targeta de por per representar una mà gran.",或者，他或者她可能只是用吓人的卡片来代表一个大手。
249255,"Com a fiscal general, em vaig enfrontar a interessos especials i vaig lluitar pels consumidors a Nevada.",“作为司法部长，我坚持特殊利益，并为内华达州的消费者而战。
265649,"Però sempre han d'entendre que hi ha un mercat al qual poden arribar molt aviat, i que no està fragmentat.",但始终明白，他们应该有市场，他们可以很快达到，并且不分散。
