linea,catalan,chino
6435,"I per això dic que haurien de començar a fer gran part dels combats ara, i ho podran fer.",这就是为什么我说，他们现在应该开始进行大量战斗，并且他们能够做到。
8020,"Potser no ho creguis, però els homes també tenen el seu rellotge patern.",你可能不相信，但男人也有他们的父亲的时钟。
20001,Deixeu que vostè i la seva família experimentin aquesta part important de la nostra cultura local.,让你自己和你的家人体验一下我们当地文化的这一重要部分。
28568,"Com, ja saps, la gent parla de no manipular els seus fills.",像，你知道的，人们谈论不要操纵你的孩子。
35216,Alguns funcionaris de la Casa Blanca creuen que la reunió que proposen no passarà mai.,一些白宫官员相信，他们计划的会面永远不会发生。
59765,"Per respondre aquesta pregunta, cal considerar diversos esforços de reforma innovadors tant del govern federal com de l'estat.",要回答这个问题，我们应该考虑联邦和州政府的几项创新改革努力。
61423,"A la República Democràtica del Congo, la FAO té previst ajudar a gairebé 2,8 milions de persones.",在刚果民主共和国，粮农组织计划援助近280万人。
63629,Això vol dir que trobarem un valor molt similar a cada 24 unitats de temps.,这意味着我们将在每24个时间单位中找到一个非常相似的值。
67689,"Com diuen a Califòrnia, anima els altres a respectar el teu espai.",因为他们在加利福尼亚州说，“鼓励他人尊重你的空间。
67790,"Aquests són els nostres futurs mercats potencials, per la qual cosa definitivament dediquem més esforç i més recursos a aquests mercats.",这些是我们未来的潜在市场，因此我们肯定会将更多努力和更多资源放在这些市场。
80114,"Tot i això, ningú creu que tornar a aquests nivells sigui saludable.",然而，没人认为回归那种水平是健康的。
94594,"Després de tot, el mentider més convincent sempre guanya en qualsevol transacció, per la qual cosa obté més terra, més menjar, més poder.",毕竟，最令人信服的撒谎者总是在任何交易中获胜，所以他得到更多的土地，更多的食物，更多的力量。
101264,Va dir que va veure almenys quatre soldats al poble.,他说看到村中至少有四名士兵。
139790,Aquest nom s'ha donat a Malawi perquè el país conté tot allò que un país africà pot contenir.,这个名字已经提供给马拉维，因为这个国家包含了非洲国家可以包含的一切。
155272,Per això diem que la clau de la situació mundial és a Alemanya.,因此我们说，世界形势的钥匙在德国。
179593,L'error més comú amb les organitzacions que fan la transició als serveis al núvol és no comprendre completament la importància de la governança.,最常见的错误与组织过渡到云服务并不完全理解治理的重要性。
198169,Crec que ens equivoquem en no poder ajudar-lo a sentir-se còmode.,我认为我们错误的是无法帮助他感到舒服。
208555,"Estic molt temorós sobre el que passarà a les eleccions dels Estats Units a finals d'aquest any, i crec que una de les poques maneres de protegir-nos és obtenir tanta informació com sigui possible.",我非常担心今年晚些时候美国大选中会发生什么，我认为保护自己的为数不多的方法之一就是尽可能多地获取信息。
221812,"Una dona pot congelar els seus òvuls fins als 40 anys, i utilitzar-los per ser mare fins i tot després de 44 anys.",一个女性40岁之前都可以冷冻她的卵子，甚至44岁以后也可以利用它来成为母亲。
224149,"Sí, però treure la base d'Escòcia",是的但是从苏格兰删除基础
227691,"En primer lloc, necessitava augmentar el nombre de transaccions que podia gestionar.",首先，它需要增加其可处理的交易数量。
246946,Això va portar a la creació de la història de 10 tribus perdudes que després no van poder trobar cap evidència de suport i es va considerar un mite.,这导致了10个失落部落的故事的创造，后来找不到任何支持证据，被认为是一个神话。
260513,Ara controla el hashtag per assegurar-se que no publiquen res vergonyós.,他现在监控标签，以确保他们不发布任何令人尴尬的事情。
