linea,catalan,chino
29543,"Si només fóssim empresaris, aquest podria ser el final de la discussió.",如果我们只是一个雇主，这可能是讨论的结束。
34640,"Però, és clar, estem disposats a comprometre'ns, és clar que estem disposats a posar més diners en la seguretat fronterera.",“但当然我们愿意妥协，当然我们愿意为边境安全投入更多资金。
54312,"Si ho féssim, l'única cosa que canviaria seria la data de la destrucció de Jerusalem i del 1914.",如果这样做的话，唯一会改变的是耶路撒冷和1914被毁的日期。
70894,Automatització del lloc de treball: Hem de témer els robots?,工作场所自动化：我们应该害怕机器人吗？
74311,He perdut un gran tipus o he evitat un jugador egoista?,我是失去了一个伟大的球员，还是避开了一个自私的球员？
95207,"Pel bé del poble egipci i pel món, hem de trobar el camí més curt i segur cap a una transició estable, segura i sostenible a Egipte.",为了埃及人民和世界，我们必须找到最短，最安全的途径，以便在埃及实现稳定，安全和可持续的过渡。
95914,"Després d'aquella conversa, Roman ""odiava anar a treballar cada dia"".",那次谈话以后，罗曼就“每天都很讨厌去上班”。
135517,"Tots dos ens reunim amb freqüència, cinc vegades a l'any de mitjana, per a establir la direcció i elaborar plans per a les nostres relacions bilaterals.",我们两个人经常会见，平均每年五次，为我们的双边关系确定方向并制定计划。
144074,Tres candidats per a la propera missió científica de classe mitjana de l'Agència Espacial Europea,欧洲航天局下一个中级科学任务的三名候选人
158281,"Aquest és un possible punt de preocupació, atès que aquests mateixos examinadors no han hagut de considerar prèviament aquestes qüestions.",“这是一个潜在的担忧点，因为这些同样的审查员以前从未考虑过这些问题。
166934,Rússia no és l'únic país que ha recollit una collita rècord aquest any.,俄罗斯并非唯一一个今年收成创纪录的国家。
186087,"En lloc de tractar d'aturar la majoria, podrien intentar convertir-se en la majoria.",而不是尝试为了阻止大多数人，他们可能会试图成为大多数人。
200203,"Veuràs, va dir, el formatge sí que dona diners.",你看，”他说，”奶酪是赚钱。
206403,"Per entendre totes les implicacions de la revolució del vehicle elèctric, ajuda a observar de prop els tres elements clau que l'impulsen.",为了理解电动汽车革命的全部含义，有助于仔细研究驱动它的三个关键因素。
208205,Aquesta va ser la decisió del déu.,那是上帝的决定。
222747,"Com sempre, el millor és ser dubtós fins que tinguem la confirmació oficial.",像往常一样，在我们得到官方确认之前，最好是持怀疑态度。
244655,Aprofundir en la reforma amb més valor polític i saviesa (text complet),以更大的政治勇气和智慧深化改革（全文）
276717,"Però aquest entrenador sempre advertirà aquestes persones: Relacions, en pots tenir moltes, però només una vida.",但这位教练总会告诫这些人：“关系”你们可能有很多，但是命只有一条。
312488,"Avui dia, sabem que les dades de Netflix (que no es comparteixen externament) impulsen les seves estratègies i decisions de desenvolupament, producció i distribució.",今天，我们知道Netflix数据（未在外部共享）驱动着其开发，生产和发行策略与决策。
330421,"Per solucionar l'error, tant i com j haurien de ser del mateix tipus.",为了修正这个错误，i和j应该是相同类型。
335065,El pla d'acció de 100 dies per salvar el planeta: una solució de crisi climàtica per al 44è president.,拯救地球的100天行动计划：第44届总统的气候危机解决方案。
342961,"És obligació de Google guanyar diners per als seus accionistes, i continuar millorant els seus productes, i punt.",谷歌有义务为股东赚钱，并继续改进其产品，时期。
