linea,tipo,razon,texto_original,porcentaje_automatico,detalles_base,detalles_avanzados,texto_catalan,texto_chino
54617,eliminacion_catalan,caracteres_problematicos: {'“'},"“Per fer un seguiment i confirmar aquestes troballes profundes, es va dur a terme un estudi internac...",,,,,
71502,eliminacion_catalan,caracteres_problematicos: {'—'},—L'Artús potser se'n podria queixar; però l'Artús torna a ser el meu pare.,,,,,
159646,eliminacion_catalan,caracteres_problematicos: {'·'},"Com a resultat d'això, les celebracions del Dia Internacional del Treball a Indonèsia es van conside...",,,,,
169956,eliminacion_catalan,caracteres_problematicos: {'–'},– Els usuaris no sempre fan les millors eleccions:,,,,,
240570,eliminacion_catalan,caracteres_problematicos: {'“'},"“No saben que alguns de vosaltres parleu dos idiomes, o que us encanta cantar o dibuixar.",,,,,
265698,eliminacion_catalan,caracteres_problematicos: {'#'},2018 - Hem d'adoptar #kubernetes per resoldre tots els problemes amb docker,,,,,
265720,eliminacion_catalan,"caracteres_problematicos: {']', '['}",La presència a Facebook és ara especialment important ja que el segon Fòrum Internacional de Medi Am...,,,,,
280325,eliminacion_catalan,caracteres_problematicos: {'%'},Al voltant del 30% dels nadons nascuts a l'inici de l'estudi (entre el 2000 i el 2003) van sobreviur...,,,,,
433636,eliminacion_catalan,caracteres_problematicos: {'”'},L'única opció és protegir proactivament el que queda.”.,,,,,
736229,eliminacion_catalan,caracteres_problematicos: {'·'},"Un gran nombre d'empreses han entès que han de ser presents a Brussel·les, perquè aquí és on està pa...",,,,,
835353,eliminacion_catalan,caracteres_problematicos: {'%'},"Tot i que hi ha molts defensors que no hi estan d'acord, el 16.12% està esperant que esclati el que ...",,,,,
901302,eliminacion_catalan,caracteres_problematicos: {'—'},—Veieu que el nostre amic salvatge era molt ortodox en el seu ritual.,,,,,
1005176,eliminacion_catalan,caracteres_problematicos: {'·'},"A les 8:30 am, vaig començar a sol·licitar pressupostos a les botigues de vidre d'automòbils, tracta...",,,,,
1038783,eliminacion_catalan,caracteres_problematicos: {'·'},"""El seu permís de treball ha estat cancel·lat i (ell) serà deportat per motius de racisme"", va dir e...",,,,,
1132113,eliminacion_catalan,caracteres_problematicos: {'“'},“L'Índia està demostrant que el creixement econòmic i la protecció del clima estan lluny de ser mútu...,,,,,
1158806,eliminacion_catalan,caracteres_problematicos: {'%'},"Penseu en l'asma, una malaltia que afecta el 8% de la població humana.",,,,,
1180104,eliminacion_catalan,caracteres_problematicos: {'“'},“La temporada no està acabada i no porta res però si algú vol aquest rècord en el futur ha de guanya...,,,,,
1193574,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","“En primer lloc, tant el meu amic com jo hem de passar la nit a la teva habitació.”.",,,,,
1310214,eliminacion_catalan,caracteres_problematicos: {'·'},Com a home tenia un altre poder que Sant Tomàs anomena el poder del ministeri principal o el poder d...,,,,,
1310458,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","En aquest cas, la millor solució seria obrir o “reenviar” aquest port al router.",,,,,
1508947,eliminacion_catalan,caracteres_problematicos: {'%'},"Segons una enquesta de McKinsey, el 37% dels consumidors ni tan sols considerarien comprar un cotxe ...",,,,,
1525154,eliminacion_catalan,"caracteres_problematicos: {'«', '»'}","«Ets la millor de les bruixes», va cridar el jove pescador, «i segurament aquesta nit ballaré amb tu...",,,,,
1581835,eliminacion_catalan,caracteres_problematicos: {'/'},"A la llum dels possibles obstacles financers, les objeccions polítiques i les incerteses estratègiqu...",,,,,
1588651,eliminacion_catalan,caracteres_problematicos: {'·'},3:87 Són aquells la recompensa dels quals és que sobre ells descansa la maledicció d'Al·là 'dels àng...,,,,,
1599673,eliminacion_catalan,caracteres_problematicos: {'`'},"``No és per a ella mateixa que ho és, sinó per al seu fill, i el que considereu un vici esdevé gaire...",,,,,
1677407,eliminacion_catalan,caracteres_problematicos: {'&'},Introducció als viatges i al turisme City & Guilds Diploma Level 1 - Aquest és un curs emocionant qu...,,,,,
1751975,eliminacion_catalan,caracteres_problematicos: {'·'},"Islamberg és la imatge d'una comunitat islàmica tradicional i tranquil·la, no d'immigrants, sinó de ...",,,,,
1755908,eliminacion_catalan,caracteres_problematicos: {'/'},"El marc financer es basa en la introducció de taxes sobre l'aigua domèstica i el clavegueram, no obs...",,,,,
1852658,eliminacion_catalan,caracteres_problematicos: {'·'},Aquesta col·laboració també inclou un intercanvi recíproc de personal i investigació.,,,,,
2021757,eliminacion_catalan,caracteres_problematicos: {'”'},Mai no sabrem si hi ha vida a l'univers i tothom em culparà a mi.”,,,,,
2181396,eliminacion_catalan,"caracteres_problematicos: {'“', '–', '”'}","“Gràcies, herois! – Ens ho heu donat tot!”, va llegir la portada de Sportske Novosti.",,,,,
2302962,eliminacion_catalan,caracteres_problematicos: {'·'},"""Trobem molt a faltar Michael, i aquesta pel·lícula demostra el molt que l'estimem"", diu Katherine a...",,,,,
2314044,eliminacion_catalan,"caracteres_problematicos: {'·', '‘'}",Perrie Edwards de Little Mix es burla de la col·laboració ‘BIG' per a l'actuació de BRITs 2019: ‘Est...,,,,,
2396772,eliminacion_catalan,caracteres_problematicos: {'”'},"Has acabat amb la sobreregulació de l'economia americana i això, juntament amb el que vam fer ahir a...",,,,,
2401497,eliminacion_catalan,caracteres_problematicos: {'%'},"L'incentiu permet a una empresa de fabricació dur a terme importacions ""temporals"" de peces de produ...",,,,,
2544316,eliminacion_catalan,caracteres_problematicos: {'·'},"Recentment, s'ha prestat molta atenció a l'estudi de tots els conjunts de proteïnes disponibles en u...",,,,,
2645714,eliminacion_catalan,caracteres_problematicos: {'+'},Els propietaris dels interruptors poden obtenir Crash Bandicoot N. Sane Trilogy o Mario + Rabbids Ki...,,,,,
2668210,eliminacion_catalan,caracteres_problematicos: {'“'},“El 2016 l'acusat va començar a llogar una oficina a Rusholme.,,,,,
2812412,eliminacion_catalan,caracteres_problematicos: {'%'},"En aquest moment, al voltant del 18% de la població vivia en àrees no rurals, tot i que només al vol...",,,,,
2844798,eliminacion_catalan,caracteres_problematicos: {'“'},“Estem encantats d'obrir avui aquest centre de competència a Malàisia.,,,,,
